,39513400
Interwest Energy Alliance,800
IP Video Market Info Inc.,800
Homes For Our Troops ,800
Holly Hughes for State Senate,800
"Healthy Forests, Healthy Communities",800
"Haden For State Representative, Mike Boulware Treasurer.",800
Georgia Budget & Policy Institute,800
Friends of Wendy Ullman,800
Friends of Selma Pierce ,800
"Friends of Sarah Elfreth; Michael G. Miller, Treasurer",800
Friends of Natasha Marcus,800
Friends of Mike Hanna,800
Friends of Matt Maddock 1150 S. Milford Road Milford MI 48381,800
"Friends of Mark Ellebracht, Steve Hawkins, Treasurer",800
Friends of Josie Raymond,800
Friends for Stefanski,800
Environmental Advocates of New York,800
"Electioneering communication by Florida Conservative Action Fund 800 Ocala Road, Suite 300-235 Tallahassee, FL 32304",800
"Eileen Higgins for Miami Dade County Commissioner District 5, Non-Partisan",800
Egan for Judge Campaign Committee,800
Ed Lazere for DC Chair.,800
Dr. Raul Ruiz for Congress Committee,800
David Molina for Oregon,800
Damon Martinez for Congress,800
DTE Wind Energy,800
Cory Williams for District Attorney 2018,800
Connor Caudill,800
Congresswoman Terri Sewell,800
Community Committee to Elect Robert Cohen,800
Committee to elect Matt Bullock,800
Committee to Reelect Probate Court Judge Gregg Iddings ,800
Committee to Elect Rick Mottice,800
Committee to Elect Ray Leonard Clerk-Recorder-Assessor 2018,800
Committee to Elect Lynn Afendoulis 3333 Falcon Bluff Ct Grand Rapids MI 49525,800
"Committee for Yes on Measure M, Sponsored by Table Rock Capital Infrastructure Partners | 941 North Ironwood, Rialto, CA 92376 | 909-874-8103",800
"Colleen Embry for Register of Deeds, Don Embry, Treasurer",800
"Colleen Burton, Republican, for State Representative.",800
Coalition For Trump,800
Clean Power Virginia ,800
City and County of Denver Government,800
Citizens for Richard Brown,800
Citizens for Baguirov,800
Citizens for Art,800
Christian Stegmaier for State Senate,800
Christian L. Valiente Committee To Elect For Congress,800
Chesney for Illinois ,800
Chase Kohne for Congress,800
Charlie Stadtlander,800
Carpenter For Senate ,800
Campaign to Elect Gene Truono,800
Cagin Campaign Committee,800
Broward Teachers Union TIGER-COPE,800
"Brooke Lierman for Delegate; Eben Hansel, Treasurer. ",800
Brook for Congress,800
Brian Turner for NC House,800
"Boucher for CT, Ellen Essman, CPA, Treasurer. Approved by Toni Boucher",800
Boston Rescue Mission,800
Blue Flower Action Independent Expenditure Committee,800
Beth Fukumoto for Hawaii,800
Bell Media,800
Bastin For Mayor,800
Assemblywoman Catharine Baker,800
Arizona Wildlife Federation and Trout Unlimited ,800
Archambault for State Senate,800
"Alliance for a Better American Tomorrow, Inc.",800
Alan Huynh,800
Adam Michelin Candidate for Commissioner District 4 Osceola County,800
AARP Oklahoma,800
A Place at the Table,800
 Friends of Darren Gantz 2018,800
the committee to elect Melisa De La Garza for Judge,700
the Right Future for Florida.,700
the Organization of Iranian American Communities - OIAC,700
"the Maine Republican Party, 9 Higgins Street, Augusta, Maine. Not paid for or authorized by any candidate.",700
the Keep Judge Jill Flagg Lanzinger Committee,700
the Committee to Elect a Republican Senate as an In-Kind to Jacque for Senate,700
the Committee to Elect Robert Perez for Moorpark School Board 2018 #1370824,700
"the Committee to Elect Dave Ellis, Non-Partisan, 6th Circuit Court Judge, Group 4",700
"the Committee for Better Schools (Yes for Mpls Kids) 5108 Bryant Avenue South, Minneapolis, MN 55419",700
"the Campaign to Elect Gerald Wilkerson for Duval County Judge, Group 3",700
"the Arizona Chapter of the Associated General Contractors of America, Inc. Not authorized by any candidate or candidate's campaign committee.",700
"political advertisement and approved by Robert ‘Bob’ Shelley for Aventura Commissioner, Non-Partisan, Seat 4",700
"and prepared by the Committee to elect Elliott Nickell, 445 Minnesota Street, Suite 1500, Saint Paul, MN 55101.",700
and authorized by Matt Stone for State Senate,700
"and approved by Judge Daryl ""Ike"" Isenhower for St. Lucie County Judge, Group 1, Non Partisan",700
and approved by Anderson Volunteer Committee.,700
Your Energy Connecticut,700
Wines for Humanity,700
Wind Energy Foundation,700
Western States Petroleum Association,700
We The People - San Diego County,700
Vote The Outdoors Action Fund,700
Vote LaDawn,700
"Vote Colleen Ebacher, Hollis Mooney, Treasurer",700
Voices for Illinois Children,700
Velasquez for Council 2018,700
VALOR - Veterans Alliance of Orange County Issues Committee,700
"Trey Winder for State Representative, Amy Goodin Treasurer",700
Tim Knutson for Iowa House,700
The Western Way,700
The Stephen Ross Committee,700
The Ruderman Family Foundation,700
The Policy Circle,700
"The New Hampshire Young Democrats. Not authorized by any candidate, candidates' committee, or the New Hampshire Democratic Party.  ",700
"The John R. Bradford, III Committee",700
The Embassy of the United Arab Emirates,700
The Creative Resistance,700
"The Committee to Elect James W. Chandler, Nonpartisan for Circuit Court Judge",700
"The Committee to Elect Gavin Clarkson, Chrissie Hastie, Treasurer",700
"The Committee to Elect Esther Helton - Zach Hutcherson, Treasurer",700
"The Committee of Responsible Persons to Elect Ryan Will, Non-partisan, Circuit 7, Group 15",700
The Chamberlain Project BQC,700
The Bill Brawley Committee,700
The Beat,700
"The Alaska Center, 921 W 6th Avenue, Suite 200, Anchorage, Alaska 99501. Susan Klein, Chair. The top contributors to The Alaska Center (Anchorage, AK) are Sixteen Thirty Fund (Washington, DC), League of Conservation Voters (Washington, DC), Clay Frick (Haines, AK). This notice to voters is required by Alaska law: We certify that this literature is not author",700
The ACLU of Texas,700
Teri Lyn Bernero For MSU Board of Trustees | 617 Seymour Ave. Lansing MI 48933,700
T-Mobile Workers United,700
Suzanne Smith for Texas State Board of Education,700
"Stevenson For Judge, Diana Marble Treasurer.",700
Steve Swenson for Sheriff,700
Steve Allison for Texas House,700
State Representative Todd Stephens,700
Sold Blue Strategies - a liberal media and video content company,700
"Scott Stadthagen Campaign P.O. Box 1512 Hartselle, Alabama 35640",700
Schwab for Colorado,700
"Sarah Willis for 15th Judicial Circuit Court Judge, Group 25.",700
Safe Sonoma,700
Sabrin for Senate,700
SCPFJ & Rebuild SoCal.,700
"Rock the Earth, a program of the League of Conservation Voters Education Fund",700
Right American Way,700
"Rex for Montana. John W. Edwards, Treasurer. P.O. Box 718, Helena, MT 59624",700
Republican Committee of Lancaster County,700
Regan for Tulsa,700
Rebuild Maine,700
Reality Alert,700
Re-elect Diane Douglas for Superintendent,700
Randy Steven Dixon Campaign Fund ,700
"Raising Grades, Lifting Futures",700
Rainforest Trust,700
Pravato for New York,700
Power of Minnesota,700
"Planned Parenthood Votes! Rhode Island, Amanda Skinner, CEO, 175 Broad Street, Providence, RI 02903. Top Five Donors: Planned Parenthood Action Fund, Rosalyn K. Sinclair, Simone P. Joyaux, Alison Townsend, Barbara Sokoloff.",700
Petaluma Safeway Gas,700
Personal PAC,700
People's House Project,700
Paid for by San Mateo Deputy Sheriff’s Association,700
Paid for by Print for Progress,700
Paid for by Friends of Ginny Ehrhart,700
Paid for By Pearl Kim for Congress,700
Pacific Oaks College,700
Pacific Legal Foundation,700
Our Health California,700
Organizing for Action,700
Oregon AFL-CIO,700
OpenSky Policy Institute,700
O'Donnell for Congress,700
New York Republican Assembly Campaign Committee,700
Neighbors for Irene,700
Minnesota Gun Rights,700
Mike Gaskill for Indiana,700
Michelle Snodgrass for Commonwealth Attorney,700
Michael Podue for ILWU Vice President Mainland ,700
Michael John Gray for State Representative,700
McDaniel for House Committee,700
Mark Williams for Colorado,700
Manhattan Institute,700
"Maine Republican Party, 9 Higgins Street, Augusta, ME 04330 Ben Lombard, Treasurer",700
MICK RICH FOR U.S. SENATE,700
Lucky Duck Foundation,700
Los Angeles Mayor's Office,700
"Left Over Rights LLC, an independent grassroots movement that receives absolutely zero funding from any political entity  ",700
Latino Victory Project and not authorized by any candidate or candidate committee,700
Lara for a Better New Mexico,700
Klean Kanteen,700
Kim Olson Campaign,700
Khojasteh for a Changed Congress FEC #C00658534,700
Kevin Powers for Congress,700
Kenny Johnson for City Council ,700
"Kelly Barrera for St. Johns County School Board, District 4",700
Kaump for Wisconsin,700
Katy for Coos,700
"Karen Skyers, Democrat, for Florida House District 61",700
Kansas Strong,700
"Kansans for a Democratic House, Adam Lusker, Treasurer",700
"Kansans for LaTurner, Doug Hill, Treasurer",700
Justin Hanson for Congress,700
Johnson for Governor,700
Johnny Mack Morrow For State Senate,700
John Elleson for Congress,700
JUSTIN BROCK,700
Iron Liberty Group,700
Hotspot Shield,700
Hispanic Access Foundation,700
"Hecla Mining Company. 34524 US Hwy 2, Libby, Montana 59923. Janine Price, Treasurer.",700
Healthy and Productive Michigan,700
Healthy Hospital Healthy Community PAC,700
Grego for House 2018 ,700
Giovanni Capriglione,700
Gina Calanni for Texas House District 132,700
Gideon Leadership PAC ,700
Garden State Equality Action Fund,700
GALEO,700
Fuse Washington,700
"Friends to Elect Pat Rowe Kerr - Gayla McKinnie, Treasurer",700
"Friends of Patty Kuderer. PO Box 1545, Bellevue, WA 98009",700
Friends of OFMI,700
Friends of Neil Combee,700
Friends of Mia Love,700
Friends of Matt Bentley,700
Friends of Mary Elizabeth Coleman,700
Friends of Mark Pinsley,700
Friends of Malissa Bossardet,700
Friends of Kirby Delauter,700
Friends of Justin Simmons,700
"Friends of Julie Reiley, Jeanne Taylor Treasurer ",700
Friends of John Pfeiffer 2018,700
"Friends of John Olszewski, Jr. Eric Schleibaum, treasurer.",700
Friends of John Curtis,700
Friends of Joe Buck,700
Friends of Jarrett Keohokalole,700
Friends of Gus Katsafaros,700
"Friends of Dennis Hof | 2711 E. Highway 95, Amargosa Valley, NV",700
Friends of Dawn White,700
Friends of Clint Koble,700
Friends of Bob Weiner,700
Friends of Aloyse Brown,700
Friends of Alexander,700
Freedom House,700
"Forests Forever Inc., a California non-profit corporation operating under IRS code section 501(c)(4). Our Federal Employer ID Number is 68-0201338.  Our mission is to protect and enhance the forests and wildlife habitat of California through educational, legislative, and electoral activities.",700
Forest Fire Facts,700
"For the purpose of this brochure, a “disclaimer” notice is defined as a statement placed on a public communication that identifies the person(s) who paid for the communication and, where applicable, the person(s) Sahak Nalbandyan & Solar Solutions authorized the communication.",700
"For Florida’s Future P.C. 1001 N.W. 62nd Street, Suite 414, Fort Lauderdale, FL 33309 independently of any candidate.  Not approved by any candidate.",700
First State Forward,700
Firearms Owners Against Crime,700
FAMM,700
Eugene Hoover for Nevada,700
Eric Linder for Riverside County Supervisor 2018 ID# 1394104,700
Empower Texans,700
"Emily Randall for Senate | PO Box 1883 Port Orchard, WA 98366",700
"Elect KDP, Authorized by Kristin Dybvig-Pawelko",700
Elect Jesse Gabriel for Assembly 2018 - FPPC ID No. 1402641,700
Earth,700
ESAFund and not authorized by any candidate or candidate's committee.,700
Dr. Diane Kelley for School Board Dist. 5,700
Doug Mays for Congress,700
Dorsey Ridley for State Senate,700
Don Stouffer,700
Diesel Technology Forum,700
"Detroit United with Regulated Funds, 300 River Place Dr, Ste 2700, Detroit, MI 48207, Not Authorized By Any Candidate's Committee ",700
Delta Foundation of Pittsburgh,700
David Rolf,700
David Koch,700
"Dave Griffith For State Representative, Andy Fechtel Treasurer",700
Dane Eagle for State Representative. ,700
DR. WRIGHT FOR CONGRESS,700
Curt Benson for Kent County Circuit Judge,700
"Craig Fishel for State Representative, Gary Powell, Treasurer",700
Cooper Nye for Congress ,700
Conservative World Daily,700
Community Center Not Animal Shelter,700
Committee to Re-elect Larry Waters,700
Committee to Elect Rick Olson To House of Representatives,700
Committee to Elect Richard Perque LLC,700
Committee to Elect Judge Rudolf,700
Committee to Elect Judge Debra Lambert,700
Committee to Elect Jonathan Jordan,700
"Committee to Elect Jimmy Leo Richardson Shaina Blair Richardson, Treasurer",700
Committee to Elect Jim Moon as Collier County Judge and Approved by Jim Moon,700
"Committee to Elect J.D. Russell, A. Lambert Rickey, Treasurer",700
Committee to Elect Charlesetta Wilson,700
"Committee to Elect Brenda Boatman for State Representative. Ellis McMath, Treasurer.",700
Cobb EMC Forum,700
Clean Water Action/Clean Water Fund,700
Clean Up Congress PAC,700
"Clay Jenkins for County Judge Campaign; George ""Tex"" Quesada, Treasurer",700
City of Cedar Park,700
Citizens for Unes,700
Citizens for Tony Monetti,700
"Citizens for Steve Bieda, PO Box 1311, Warren, MI 48090",700
Citizens for Seth Lewis,700
Citizens for Mitchell,700
"Citizens To Elect Paul Yang, 452 Lafond Ave, St. Paul, MN, 55103",700
Christine Drazan for State Representative,700
"Christen N. Finley, Candidate ",700
Chrissy for Oregon,700
"Chris McCool for Criminal Appeals PO Box 281 Reform, AL 35481",700
Chidi Eze,700
Chester Jeng,700
Chemung County Legislator Rodney J. Strange,700
"Charles Bare, Republican, for ECUA District 4",700
Change.org,700
Change Annapolis PAC,700
Chadbourne for Governor,700
Casey Kulla for Yamhill County Commissioner,700
Cargill,700
Candidate,700
Caddy McKeown for Representative,700
C Johnson,700
"By Authority of Richard McDowell, Treasurer",700
Brent Oleson for Linn County Supervisor,700
Bopha for Congress,700
"Bill Conway for Council, Ira Goldstein, Treasurer ",700
BeyondBasic10,700
Beesponsible,700
Axiom News Network,700
Authority Debby Oliver Treasurer,700
Americans for Limited Government,700
American Liver Foundation,700
American Bridge 21st Century PAC,700
Amanda Renteria for Governor,700
Alley Cat Allies,700
Allegheny County Children's Fund Initiative,700
Alex Mendez for Senate,700
Al Lawson For Congress ,700
Airline Passengers for Justice,700
Abortion Clinics OnLine LLC,700
Abortion Access Hackathon,700
AND PREPARED BY THE ALICE MANN FOR HOUSE COMMITTEE,700
AFT Solidarity.,700
AARP Iowa,700
A Whole Lot of People for Grijalva,700
30A,700
1199SEIU United Healthcare Workers East,700
 Rosy Aponte Campaign Group 2 ,700
" Miller & James, LLP",700
" Hegeman for Senate, Glen Klippenstein, Treasurer.",700
" CITIZENS FOR WASINGER, MARK DUNN, TREASURER",700
the funds authorized by the U.S. House of Representatives for the Ninth Congressional District of Ohio.,600
the Turner Campaign,600
"the Texas Democratic Party, www.txdemocrats.org.",600
the Republican Party of Texas and not authorized by any candidate or candidate's committee.,600
the Office of Congresswoman Julia Brownley,600
the Office of Congresswoman Barbara Comstock,600
the Office of Congressman Charlie Crist,600
the Iowa Democratic Party. Authorized by Eric Gjerde.,600
the Committee to Elect Michelle Ciccolo.,600
the Committee to Elect Barry Newcomb for Sheriff of Rockingham County,600
soldati for congress,600
"by Yes on Prop C - Universal Childcare in San Francisco Norman Yee – Treasurer.  Major funding from: SEIU 1021,SEIU 2015, SOMA Hotel",600
by Progress North Carolina,600
"and approved by Sean Mitchell, Democrat, For St. Lucie County Commission, District 2",600
"and approved by Karen Berger for Broward County Circuit Court Judge, Group 43, NP",600
Zumbach for Iowa House,600
Yvanna Cancela for Nevada,600
"Yes on 10 - a Coalition of Teachers, Nurses, Seniors and Renters for Affordable Housing, Sponsored by AIDS Healthcare Foundation and ACCE Action. Committee major funding from AIDS Healthcare Foundation, AFSCME Local 3299 Issues Committee, and California Nurses Association.",600
YWCA Lake County,600
"Wolf PAC. This message has been authorized by Wolf PAC, 6230 Wilshire Blvd Suite 140, Los Angeles, CA 90048, David Koller, Treasurer. This message has not been authorized or approved by any candidate, candidate’s committee, or ballot issue committee.",600
Wine & Spirits Wholesalers of America,600
Wilmington Love,600
Wiley Nickel for North Carolina,600
West Virginia Democratic Party,600
We Are Ohio,600
Watts for Congress,600
Warwick Sabin for Mayor ,600
WSB Radio,600
"Vote for Your Library, Jack Holland, Treasurer",600
"Von Achen For Judge. Matthew Brown, Treasurer.",600
Vince Leach for Senate,600
Vicky Hartzler for Congress,600
United Moms,600
UNITE HERE Local 11,600
UC Hastings Law,600
Troy for Chicago,600
Tritch for Congress,600
Trichter for New York,600
"Tom Umberg for Senate 2018, FPPC ID #1403029",600
Tom Rice for Congress,600
Toby Hampson for Judge,600
Thomas for First,600
Theodore Dziuba for Senate 2020 (FPPC ID: 1401457),600
The Wildcard,600
The Voting Project,600
The Secure San Antonio's Future PAC,600
The Santa Barbara & Ventura Colleges of Law,600
The Joyce Foundation,600
"The Jim Carns Campaign, P.O. Box 43797, Birmingham, AL 35243 ",600
The Jay McMahon Committee,600
The Democratic Coalition,600
The Committee:  Friday for U.S. Congress,600
The Committee to Elect Will R. Barham,600
The Committee to Elect John Check   Brad Bobbitt Treasurer,600
The Committee to Elect Brencis D Smith,600
The Committee to Elect Allen Blackmon to District Court,600
The Committee To Elect Dawn Barlow For Congress,600
The Committee To Elect Daniel Gallegos for Judge ,600
Texas Insider,600
Texans for Charles Schwertner,600
Texans For Sensible Immigration Policy,600
Terry for Arizona,600
Tarkanian for Congress,600
Tanner Ainge for Utah County,600
Svonkin for Board of Equalization 2018,600
Supporters of Kirk Pankratz OKC Council,600
SumOfUs,600
Sullivan 2018,600
Stop Destroying Tennessee Farms,600
Stop Buying our Elections,600
"Steve Friedman, Democrat, for State House District 120",600
Steve Cona for Hillsborough County School Board District 1,600
Stephanie Rumford,600
State of Alaska Division of Elections,600
Stand With Parkland,600
Spectrum News ,600
Speak UP,600
Sooner Tea Party,600
Solstice,600
Smoky Mountain Values PAC,600
Shenna Bellows for State Senate,600
"Sharise V. Riley, Democrat, for City Council District 7",600
Shared Hope International,600
Shantel Krebs for Congress,600
Shabnam For Wisconsin.,600
Sergey Solyanik,600
Senior Connection Center,600
Sen. David Carlucci,600
Seminary for Mayor,600
Seeker,600
Saul Cohen,600
"Sara Alijewicz for County Court Judge, Group 5, Non-Partisan.",600
Sanford for Superintendent of Schools 2018,600
"Sam For Anchorage PO Box 240265 Anchorage, AK 99524",600
Salty & Lit,600
SOS International ,600
SEIU Local 1,600
"SEIU Healthcare Illinois, Indiana, Missouri, Kansas",600
Roy Zimmerman,600
Rory's Committee,600
Ron Johnson for State House,600
"Rob Levy for Florida State Senate District 25, Democrat",600
Rich Meyer,600
Reynolds For Jersey,600
Resistance School,600
Rescue + Freedom Project,600
"Rene “Coach P” Plasencia, Republican, for State Representative,",600
Renacci for Senate,600
Redding Rancheria,600
"Red, White and F You",600
Red Zone PAC,600
Red Arrow Media,600
RICK W ALLEN FOR CONGRESS,600
Quigley for Congress,600
"Question PAC PO Box 426 Ephrata, WA 98823 - Not affiliated with any political candidate or campaign",600
Prompt Media,600
PowerCA Action,600
Phillip Pratt for State Representative,600
Peterson4Carefree,600
Peter Joffrion for Congress,600
"Perillo 2018, Noreen McGorty, Treasurer. Approved by Jason Perillo.",600
"Peoples World, Communist Party USA",600
People for the Ethical Treatment of Animals,600
People for Catalina Cruz,600
People for Alex Ramel,600
Peaks to People Water Fund,600
Paul Gonzales for Santa Ana City Council 2018,600
Pat Sullivan,600
Pat Condon For Judge,600
"Pat 2018, Danny Eddy, Treasurer. Approved by Pat Wilson Pheanious.",600
Parish of Caddo,600
Pam Glick,600
Paid for by the San Francisco Deputy Sheriffs’ Association Political Action Committee. ,600
"Paid for by People for Solon, Charlie Solon, Treasurer.",600
"Paid by Dave Piech, Republican for Santa Rosa County Commissioner, District 4. ",600
PAC for a Change,600
"Owen Donohoe for State Representative, Owen Donohoe, Treasurer",600
Orvis,600
One Collier,600
"Oakland Pride, Inc",600
O'Leary for Town Council,600
Northwest Florida Conservatives,600
"Nicks for County Commission, Jim Hand, Treasurer",600
"Nick Guy for Sarasota County School Board, District 1.",600
New Mexico Working Families Party PAC,600
New Mexico Voices for Children,600
"New Mexicans for Gary Clingman, Sadie Boyer, Treasurer",600
National Health Service Corps,600
National Clean Energy Week ,600
Myrna G San Miguel Treasurer,600
Mossman 4 OHA Candidate Committee,600
Moore for West Virginia,600
Mike Smith for Mayor of Stuttgart,600
Miessner for Council  2018 FPPC#1402675,600
Michele Guyton for Baltimore County,600
Meraki Journey,600
Meadors For Solicitor,600
McKissick for NC Senate,600
Matt McCarthy for Assembly District 23,600
Maryland Health Care Commission,600
Mary Geren for Congress,600
"Martinez for Ward 4 Campaign, 1772 Hewitt Avenue, St. Paul, MN 55104",600
Martin for Judge 2018,600
"Marshall Tuck for State Superintendent 2018, FPPC# 1395234",600
Marla Livengood for Congress 2018,600
Malone for NC House,600
Make the Road Pennsylvania,600
Make Our State Great Again,600
Mainers for Accountable Leadership PAC,600
Maine Center for Economic Policy,600
Madison County Republican Central Committee,600
"MDW Communications LLC for promotional purposes only. No promotion is done on behalf of any campaign, political committee, or organization.",600
MARTE NYC CHRIS MARTE FOR STATE COMMITTEE,600
"MAGApreneur, INC.",600
Lynne McClintock & Cullen McAuliffe for Hunterdon County Freeholder,600
"Luetkemeyer for Senate Al Landes, Treasurer",600
Louisiana Right to Life,600
Lois W. Kolkhorst Campaign,600
"Liv Coleman, Democrat, for State Representative, District 73",600
Lisa Hunter for Ward 6,600
Lisa Allen For Judge,600
Lesley for CU Regent,600
"Lennon for Boone | Nila Gupta, Treasurer",600
"Lee Mangold, Democrat, for Florida House 28",600
Larry Rice of the Rice Divorce Team,600
LaTrice Moore for Polk County School Board,600
Kyle M. Woodman,600
"Kyle Frost for Leon County Commission, District 3",600
Kim Spears for House,600
Keystone Energy Efficiency Alliance (KEEA),600
Kennedy for US Senate,600
Kenan Baldridge for State Senate ,600
"Ken Summers for State Rep, PO Box 24 Baraga MI 49908",600
Kellie Julia for State Senate District 15,600
Keith Hanson for Council,600
Keep Pierce County Safe PAC,600
Katalina Penland for El Centro Elementary School Board,600
Karl Williams for Judge,600
"Julie 2019, Kate Conetta treasurer.",600
Jose Manuel Lorenzo,600
Jon Hardister for NC House,600
Jon Echols for State House 2018,600
"Johnson County, Kansas Democratic Party",600
Joe Haveman,600
Jimmy Blacklock Campaign ,600
Jim Patterson,600
"Jennifer Webb, Democrat, for State Representative, District 69.",600
Jeffrey Marc Siskind,600
"Jason Brodeur, Republican, for State Senate.",600
Jamal for Congress ,600
Jack Miller Down to Business,600
IpHorgan Ltd.,600
Iowans For Tax Relief PAC.,600
Internet Innovation Alliance,600
Innovation Ohio,600
Ihlenfeld for Senate,600
Idaho Coalition Against Sexual and Domestic Violence,600
Huntington Learning Center East Boise,600
Horne Recorder-Clerk 2018,600
Hatfield for Commissioner,600
HPAE - Health Professionals & Allied Employees,600
Gronik for Wisconsin Inc,600
Great Lakes Gun Rights,600
Grassroots For You,600
"Gordon Wildridge for State Representative, Sherry Lockhart, Treasurer",600
Gino Filippi for Upland City Council 2018 ID#1329509,600
Giffords PAC,600
Gallego for Senate,600
"GOP Scouts, Inc. Not authorized by any candidate or candidate’s committee.",600
"Friends of Tommy Waters - 4300 Waialae Ave B502, Honolulu HI 96816",600
Friends of Susan McLain,600
Friends of Sean Reyes,600
Friends of Rodney J. Strange,600
Friends of Randy Swartzmiller 2018,600
"Friends of ROB VESCOVO, Brent Jones Treasurer",600
Friends of Noel Frame (D),600
Friends of Nick Gailius,600
Friends of Michael Whaley,600
"Friends of Matt Friedrichs P.O. Box 02246 Detroit, MI 48202",600
Friends of Marty Quinn Senate 2018,600
Friends of Liz Sumner,600
"Friends of Kevin Mack, Michael Mack, Treasurer",600
Friends of Juan Vides,600
"Friends of Jimmie Stephens, P.O. Box 3628, Hueytown, AL 35023",600
"Friends of Jim Mathias. Donna Richardson West, Treasurer",600
Friends of Jim Hood,600
"Friends of Holly Rehder, Lisa Neumeyer Treasurer ",600
Friends of Gagliardi for Morris County Clerk,600
Friends of Ezra Nanes,600
Friends of Derek Young for Pierce County Council,600
Friends of Denyc Boles,600
Friends of Dan Schwartz,600
Friends of Cliff Crouch,600
"Friends of Christine Kilduff (D) | P.O. Box 65431, University Place, WA 98464",600
Friends of Chris Smith,600
Friends of Chidi Eze,600
Friends of Chad Grunander,600
Friends of Brigid Kelly,600
Friends of Brandon Elefante,600
"Friends of Billy Shreve, Angela L. Gregory, Treasurer.",600
Friends of Alex Poythress,600
Friends for Susana Mendoza,600
"Friends for Hardy Billington - Tom Graham, Treasurer",600
Friends for Gary Seyring,600
Friend of Floyd Bonner,600
Free to Teach,600
Focus Texas,600
Florida Gun Rights PAC,600
"Florida 32BJ United American Dream Fund, 1313 NW 36th Street Suite 501 Miami, FL 33142. Independently of Any Candidate. No Candidate Has Approved This Ad.",600
Fix the Court,600
Figueroa for Ulster,600
Feeding Pennsylvania,600
Farrin for Senate,600
Faith First ,600
"FRIENDS OF MIKE BALL 105 CANTERBURY CIRCLE MADISON, ALABAMA 35758",600
Evandro Carvalho for District Attorney,600
Eric Walker for City Council,600
"Eric Mikkelson for Mayor. Brendon Jenks, Treasurer.",600
Eric For Us Campaign,600
Eric Fasci,600
Epimonia,600
Environmental Policy Alliance,600
Elizabeth Turner Law LLC - The choice of an attorney is important and should not be based solely upon advertisements,600
"Elizabeth Fetterhoff, Republican, for State Representative, District 26",600
Eddy for Gresham,600
Diehl For Georgia,600
Derickson K For Congress,600
Delaware House Democratic Caucus,600
Davis Gateway Student Housing LLC and Affiliated Entities,600
David Lewis for NC House,600
David Alvarez,600
"David Adkins for State Representative. Lisa Contreras, Treasurer.",600
Dave Thomas Foundation for Adoption,600
Dave Gill for Treasurer,600
Darren Suen for Mayor 2018,600
Dallas County Republican Party. Not authorized by any candidate or candidate committee.,600
DCCC/TJ Cox for Congress,600
Cownie for Statehouse ,600
Cory Wolbach for Council 2018 FPPC 1404394,600
"Congressman Bill Pascrell, Jr.",600
Community Group,600
Common Defense / Beyond the Choir Action Fund,600
Committee to Re-Open Our Local Hospital; Yes on H. ,600
Committee to Elect Sue Maxwell Barnes,600
"Committee to Elect Saydie Cook, Jim Smith Treasurer",600
"Committee to Elect Rhya Marohn, Connie Bowling, Treasurer",600
Committee to Elect Judge Marrazzo,600
Committee to Elect J.P. Morgan for Judge C/O Ronnie Morgan - Treasurer,600
Committee to Elect Harper Peterson ,600
Committee to Elect David Barber,600
Committee to Elect Amanda Brand,600
Committee to Elect Amaad Rivera,600
"Committe to Elect Steve Burk for Judge, 7th Circuit, non-partisan",600
Colin Schmitt for State Assembly,600
Coalition to Protect America's National Parks,600
Climate Magazine,600
Citizens for Tom Morrison,600
"Citizens for Mazzochi. A copy of our report filed with the State Board of Elections is (or will be) available on the Board’s official website www.elections.il.gov or for purchase from the State Board of Elections, Springfield, IL.",600
Citizens for Judge Martin,600
Citizens PAC FFPC #1410641,600
"Citizens For Schatz, Donald Koppelmann Treasurer.",600
Citizens Against Foreign Interference,600
"Chuck Brannan, Republican for State Representative District 10.",600
Chris Hunter for Congress,600
Chris Humphrey Committee,600
Charlie Prater for State Auditor 2018,600
Charles Jennings for Area 4 Delta College Trustee 2018,600
Chad Chronister for Hillsborough County Sheriff,600
Cardinal for Congress,600
Campaign to elect Lee Castillo,600
Calvey for County Commissioner,600
"Californians Against Cruelty, Cages, and Fraud – No on Prop 12 – Sponsored by Humane Action Fund",600
California Labor Federation,600
CTE Ryan Chamberland,600
COMMITTEE TO ELECT WEBER SHERIFF,600
COLORADO FORWARD to DECIDE COLORADO,600
CD3 Republicans,600
By the committee to Elect Jamie Raebel Benton County Coroner,600
"By Authority, Friends of Bill Frick, Jill Nicoll Treasurer",600
BuzzVote LLC,600
Build Colorado's Future Independent Expenditure Committee. Not authorized by any candidate or committee.,600
Brent Welder for Congress,600
Bobian fo Colorado House,600
Bob Lucey for County Commission 2,600
Boatner for Congress,600
Beth Chapman,600
Bernardo M Perez for Ventura County Supervisor 2018. FPPC# 1401493.,600
Benjamin A. Schwartz,600
Beau for Congress,600
Beach Blanket Babylon,600
Authorized and paid for by Kevin McDugle for State House District 12,600
"Authority: Brooks Bennett for Delegate, Jillian Bennett, Treasurer",600
"Authority, Committee to Elect Bobby Zirkin, Erik Atas, Treasurer",600
"Arjun Sethi, Author of American Hate",600
Arizona Game and Fish Department,600
April Oquenda for Hayward School Board 2018,600
Anita Burroughs for New Hampshire,600
"Angela4KS. Sarah Casey, Treasurer.",600
Angela Witwer for State Representative,600
Andrea Marr for Costa Mesa,600
American Patriot Daily News Network,600
All* Above All Action Fund,600
"Alexander Street, a ProQuest Company",600
Alaska Family Action,600
