,95777
James Glenn Caudill,19
Jacqueline Chretien for New Hampshire,19
JJ for House 2018,19
Innovation Ohio Education Fund,19
Indiana Electric Cooperative Association,19
Hoover Democrats for Alabama,19
Hank4KY,19
Goose in the Gallows,19
Goodwin for Terre Haute,19
Glisson for Congress,19
"Georgette Dumont for Jacksonville Beach City Council, Seat 5, District 2",19
Gallagher for Utah State Senate ,19
Gaines District 10,19
"Friends to Elect Arimeta DuPree, Donna DuPree, Treasurer",19
"Friends of Sharon Brackett; Matt Thorn, Treasurer",19
Friends of Ryan C. Johnson,19
Friends of Rodney J. Strange,19
Friends of Randy McNally,19
Friends of Phyllis Johnson,19
Friends of Nellie Gorbea,19
Friends of Marty McClendon,19
Friends of Mark Tracy,19
Friends of Liz Hanbidge,19
"Friends of Kylie Oversen, Arvin Kvasager, Chair",19
"Friends of Kathy Szeliga, Colleen Dunlap, Treasurer",19
Friends of Joshua Evans,19
Friends of Joe Ciresi,19
Friends of Jerry Costello II,19
Friends of Jerome Emanuel ,19
Friends of Jenn Alford-Teaster,19
"Friends of Jazz Lewis, Chris Taitt, Treasurer.",19
"Friends of Howard Sanderford, 908 Tannahill Drive, Huntsville, AL 35802",19
"Friends of Diane Adkins Tobin, Donna Beard treasurer",19
Friends of David Leland,19
Friends for Rashid,19
"Friends For Charlie Franklin, Donna Franklin Treasurer",19
Freedom United,19
Fox River Capital,19
For Our Future. Not authorized by any candidate or candidate's committee.,19
Flush The Jon 2018,19
Family Farm Action,19
Eric Linder for Riverside County Supervisor 2018 ID# 1394104,19
"Equilibrium Management, LLC",19
"Equality Florida Action PAC, P.O. Box 13184, Saint Petersburg, FL 33733, independently of any candidate. This advertisement was not approved by any candidate.",19
Elect Mia J Johnson Sullivan County Commission Campaign Committee. Treasurer: Anita Morrell,19
Education Reform Now Advocacy,19
Dröher Kline for House 20A,19
Dr. Bronner's,19
"Dianne Williams-Cox, Candidate for Tallahassee City Commission Seat 5",19
"Detroit United with Regulated Funds, 300 River Place Dr, Ste 2700, Detroit, MI 48207, Not Authorized By Any Candidate's Committee ",19
Debra J.M. Smith of Informing Christians ,19
Death To Tyrants ,19
Dayton Watchdog,19
Davis for NC House,19
David Olson,19
"David Nelson for Idaho | 804 East E Street - Moscow, ID - 83843 Shirley Ringo, Treasurer",19
Dave Shaw for Yuba City Council 2018,19
Danielle Weston for RRISD Place 3,19
Dan Harms for County Commission,19
Dakota Carter Campaign,19
DCCC/TJ Cox for Congress,19
Cory Vessa for RRISD,19
Committee to Re-Elect Tim Mahoney,19
Committee to Elect Steve Carra,19
Committee to Elect Phil Skaggs,19
Committee to Elect Marcus Vandiver,19
Committee to Elect Enoch,19
Committee to Elect Daniel Tucker Chancery Judge,19
"Committee to Elect Brian McGee, PO Box 435, Valley, AL 36854",19
Committee to Elect Benyousky,19
"Committee to Elect Allison Quast-Lents 502 S. University, Mt. Pleasant, MI 48858",19
Committee for Michelle McKissack,19
"Committe to Elect Steve Burk for Judge, 7th Circuit, non-partisan",19
Clint Townsend,19
Clarksville Safe & Strong,19
City of Carson,19
"Citizens to Elect Tom Weber: A copy of our report filed with the State Board of Elections is (or will be) available on the Board's oﬃcial website or for purchase from the State Board of Elections, Springfield, Illinois., ",19
Citizens to Elect Mike Marron,19
"Citizens for Terrell Boston Smith, Joy Francis, Treasurer",19
"Citizens for Michael Leptic.  Rebecca Galliher, Treasurer.",19
"Citizens for Gildehaus, Treasurer Edward ""Eddie"" Meyer",19
Citizens for Charlotte McGuire,19
"Citizens For Miller, Bob May Treasurer",19
Christina Kaleiwahea,19
"Chris Pracitto for County Court Judge, Nonpartisan, for Miami-Dade Circuit Court Judge",19
Children First for Oregon,19
Chadbourne for Governor,19
Chad Gardner,19
Cedric McMinn Campaign for State Representative District  109,19
"Carol Lawrence, Democrat, for Florida House of Representatives.",19
"Campaign to elect Tomas Uresti,  A.M. Treasurer, 243 Creath Pl.  S.A. Tx. 78221 (210) 990-8585",19
Campaign To Elect Nicholas Mrozowski,19
Campaign Texas,19
"CTE Poppy Sias-Hernandez PO Box 243 Muskegon, MI 49443",19
CARE Action Now. Not authorized by any candidate or candidate’s committee.,19
Bryce for State Senate,19
Brian White for State House,19
Brian L. Bonner,19
Billy Kovacs for Congress,19
Big Easy Magazine,19
Better Off Red Podcast,19
Bengivenga For Council,19
Beau for Congress,19
Bayonne Center for Progress,19
Bassilian for Congress FEC #C00652222,19
Bartholomew County Democratic Party,19
BJ Maxson for Sheriff Campaign,19
"Authority: Friends of Jessica Haire, Kelly Rosenthal, Treasurer",19
"Authority: Friends of David Wilson, Sharon Bauer, Treasurer",19
Andrew B. Labas,19
American Legislative Exchange Council,19
Alpha News,19
Alliance San Diego Mobilization Fund - For Educational Purposes.,19
"1863 PAC, Ltd. Not affiliated with any candidate or candidate’s committee",19
"""Duke Nguyen for Sheriff 2018"" FPPC#1399648",19
" the House Republican Campaign Committee, Inc.",19
 Ghulam Qadir For Michigan State Senate Committee,19
 Austin Swing for Sheriff,19
weldonforcoroner,18
"the committee to elect Alan Ledford, Tammye Ledford Treasurer",18
the Wisconsin Working Families Party PAC,18
the NRCC and not authorized by any candidate or candidate’s committee,18
the Michigan Infrastructure & Transportation Association,18
the Iowa Soybean Association,18
the Iowa Democratic Party. Authorized by Kenan Judge.,18
the Dwayne Bohac Campaign.,18
the Democratic Citizens of Berwyn,18
"the DFL House Caucus, 255 East Plato Blvd, Saint Paul, MN 55107.",18
the Committee to Re-elect Circuit Judge Lamar Pickard,18
the Committee to Elect Paula Stepp.,18
the Committee to Elect Paul Walker,18
the Committee to Elect Nicholas Wood Probate Judge of Isabella County,18
"the Committee to Elect Lawson Cary Bittick,III for Monroe County Sheriff",18
official funds from the office of Lee Zeldin.,18
by Peter Churchman,18
and Authorized by Vote Brigette Peterson,18
Yvanna Cancela for Nevada,18
"Woodard for Kansas. Shabina Kavimandan, Treasurer.",18
Wisconsin LGBT Chamber of Commerce,18
Wilmington City Council,18
"We the People for Matt Michel, Andrew Michel, Treasurer.",18
"Walter ""Dale"" Miller, Candidate for Broward Circuit Judge, Group 46, Non Partisan. This website and all of its contents were created and are maintained by the Committee of Responsible Persons for the Walter ""Dale"" Miller Campaign for Circuit Court Judge. This advertisement was approved by the Candidate.",18
Volunteers for Nehlen,18
Vito Sheeley for State House District 70,18
Vision America,18
Vidak for Senate 2018,18
"Vawnita Hovet Best, Candidate",18
United to Change our Gun Laws and not authorized by any candidate or candidate’s committee.,18
UltraViolet,18
UW College Republicans,18
Tyson Fellman,18
"Turco for Newington, Michael Nafis, Treasurer. Approved by Gary Turco",18
TrumpStarSticker,18
Tracy Philbeck for County Commissioner,18
Traci Stephens,18
Tomika T. Harris Irving,18
"Tim for Connecticut 2018. Thomas J. Daly, Treasurer. Approved by Timothy M. Herbst",18
The Truth about Brandy Hambright,18
The Havre Herald,18
The Committee to elect Joanne Powell,18
The Committee to Retain Judge Brian A. Iten,18
The Committee to Elect Christina Minicucci,18
The Committee To Elect MB McAfee,18
The Campaign to Elect Desmond Wallace ,18
The Alaska Right To Life Committee,18
"Tara M. O'Connor for Pasco County School Board, District 5",18
THE COMMITTEE TO ELECT STEVE GREEN.,18
Syosset Park,18
Stuart Holmes for Thurston County Auditor,18
"Steve Lockwood for Commissioner, Marilyn Sabella Treasurer",18
State Representative Todd Stephens,18
State Employees Association of North Carolina,18
"Stand for Alaska Vote No on 1, Anchorage, AK 99503. Marleanna Hall, chair, Aaron Schutt, Jaeleen Kookesh, Joey Merrick, and Sarah Lefebvre, co-chairs, approved this message. Top contributors are Donlin Gold Alaska, Anchorage, Alaska, ConocoPhillips Alaska, Anchorage, Alaska, and BP Alaska, Anchorage, Alaska",18
"St. George, Louisiana ",18
"Smith for Freeholder, Krickus for Freeholder, Shaw for Freeholder",18
Sloan for Arizona,18
Senior Lifestlye Improvement Inititive,18
Scott Prescher,18
Scott Nintzel ,18
Save Our Tip System Initiative 77,18
Savannah Maddox for State Representative,18
"Sara Alijewicz for County Court Judge, Group 5, Non-Partisan.",18
Santana for Fair Lawn Board of Education,18
Ryan Winkle,18
Rx Abuse Leadership Initiative,18
Rosser for Georgia LLC,18
Robert Matz for Alameda City Council 2018 FPPC 1407059,18
Riverlife,18
Rita Lucido for State Senate,18
"Riley for Wisconsin, Elizabeth Menigo, Treasurer",18
"Richard ""RK"" Kowalewitch for City Council",18
Rewire.News,18
Reigenborn 4 Sheriff,18
Ready Colorado,18
"Randy Smith for Commission, Wanda Moody Treasurer",18
"Randy Brodehl for Commissioner, William Leininger Treasurer, 1101 La Brant Ridge, Kalispell, MT  59901",18
Rambo for Judge,18
Public Accountability Initiative,18
Progress NC Action,18
Progress Iowa,18
PowerLabs,18
"Political Storm, a non partisan political discussion site and Jon SaltzmanPublisher",18
PoliticaCT,18
Pol. Adv. Pd. for by Mr. Sandy McGhee,18
Pol. Ad. Paid for by Victoria Neave Campaign,18
Plant City Right. Now.,18
"Planned Parenthood Pennsylvania Votes (1514 N. 2nd  Street, Harrisburg, PA 17102), an independent expenditure committee connected to Planned Parenthood Pennsylvania Advocates, and not authorized by any candidate or candidate’s committee.",18
Planned Parenthood Empire States Votes Political Committee,18
Perske for MN Senate,18
Paula Dianne Scrofano,18
Paul Kerr for Congress,18
Patriots for Steve Dakopolos,18
"Paid for by The Friends of Dan O'Neill, Dan O'Neill, Treasurer",18
Paid for by Matt Deaver for Legislature,18
Outvote Inc,18
Out of Context Games LLC,18
Our Revolution,18
Oregon Environmental Council,18
"Onder for Missouri, Doug Mueller, CPA Treasurer",18
Omar Fateh House Committee,18
Oklahomans for Anthony 2018.,18
Ohio Legislative Black Caucus Political Action Fund,18
Office of Congresswoman Nydia M. Velázquez,18
Nuno for Manteca City Council 2018,18
Nueces County Democratic Party,18
North Carolina Values Coalition PAC,18
Nick Myers for House 2018,18
Nick Exline For STPUD Board,18
Newsom for California – Governor 2018,18
Nelson Faerber for Secretary of State,18
Nathan Reed,18
NRA Women,18
Murphy for School Board 2018,18
Mullin For Congress,18
Movement Advancement Project.,18
Mooney for Congress,18
Mindfulness Together and Susan Kaiser Greenland,18
"Mike Sannella for San Marcos City Council, District 2 ",18
Michigan League for Public Policy,18
Michael Wildes for Mayor,18
Michael Tahan for Fontana,18
Meyerland Area Democrats PAC,18
Mental Health America of Georgia,18
Mark Miller for City Council,18
MIchael Case,18
Lou Ford,18
Local 3299,18
Linsey Fagan for Texas,18
Lindsay Sabadosa,18
"Linda Love and Mike Williams, PO Box 762 Kula, HI.  Published without the approval of the candidates.",18
Let America Vote,18
Lee campaign ,18
Lane Gulledge,18
LaBruno for Dumont,18
Kristie Fiegen for South Dakota,18
Kris Coffield,18
King County Councilmember Pete von Reichbauer,18
Kevin Kensinger for Congress,18
Kerr County Democratic Party ,18
Kenny Kakaty,18
Kasey Redus for WilCo,18
Kaleido Health Solutions,18
Joy For Kansas,18
"Jorge Luis Lopez, Esq.",18
John Todd ,18
"Joe Maryuma for Palm Beach County Circuit Court Judge, Group 18. ",18
"Jocelyn Benson for Secretary of State P.O Box 21368 Detroit, MI 48221 ",18
"JoBethHD11, PO Box 2262, Kalispell, MT 59903",18
Jesse Gabriel for Assembly 2018 - FPPC ID No. 1400729 and Elect Jesse Gabriel for Assembly 2018 - FPPC ID No.1402641,18
Jeremy Cady,18
Jef Fincher Admin Melvin for Georgia,18
Jay Nelson for Sheriff/Coroner ,18
Jason Sansone 2018,18
Jack Bower For Atchison County Commissioner ,18
JA Moore for SC,18
Horne Recorder-Clerk 2018,18
Holler for SC Senate,18
Higher Learning Advocates,18
"Helen Henderson, Democrat, for St. Lucie County Commission, District 4",18
Greg Scharff for Open Space District Board 2018,18
Greater Austin Chamber of Commerce,18
Goyke for Assembly,18
"Govern for California Action Committee. Committee Major Funding from David Crane, Mark Heising. This advertisement was not authorized by a candidate or committee controlled by a candidate.",18
Golden for Congress,18
GoVote Media Project,18
Gil Almquist for Washington County Commissioner,18
Gene W James for San Clemente City Council,18
"Gaylin Carver for Associate Judge, Dr. George Kistler, Treasurer",18
Friends to Elect Robert Udell For Sheriff,18
Friends of William Fahoury for Mayor,18
"Friends of Will Ainsworth. 7520 Browns Valley Rd, Guntersville, AL 35976",18
Friends of Susanne Henderson,18
"Friends of Sarah Brown for Our Home Town, Auburn, Alabama",18
Friends of Roxanne Pollard 2018,18
"Friends of Paul Monteiro, Leslie Bridges, Treasurer",18
Friends of Paul Kolin,18
Friends of Paul Bradley,18
Friends of Mike Oliverio,18
Friends of Michelle Davis-Younger,18
Friends of Mary Auker-Endres,18
Friends of Marty Quinn Senate 2018,18
Friends of Marisabel Cabrera,18
Friends of Lori Chavez-DeRemer,18
Friends of Kristina Drake,18
Friends of Ken Webb for City Council ,18
Friends of Jordan Hines ,18
"Friends of Harry Roberts, Scott Burnham, Treasurer. ",18
Friends of Felisha Leffler,18
Friends of Felicia Stewart,18
Friends of Chris Winslow,18
Friends of Chasteen 2018,18
Friends of Charles Wilkes 2018,18
"Friends of Aron Axe, Treasurer Robert Cox",18
"Friends of Anne Giuliano.  Democrat.  PO Box 51341 Billings MT  59105, Treasurer Pam Ellis",18
"Friends of Anesh, Bengivenga, & Wolak",18
"Friends of Andrew Jones  690 County Road 202 | Centre, AL 35960",18
"Friends for Mike Reuter, Renee Reuter Treasurer.",18
Florida Keys Democrats,18
Fleming for Putnam,18
Fayette County GOP,18
Essayli for Assembly 2018,18
Ernest Bailes for Texas,18
Environmental Advocates of New York,18
Engel for Congress,18
Enbridge Line 3,18
"Emily Randall for Senate | PO Box 1883 Port Orchard, WA 98366",18
Elect John Lincoln,18
"Edmondson For Governor 2018, 4901 Richmond Square, Suite 102, Oklahoma City, OK 73118",18
Eddie Jones for McCracken County Commissioner,18
Dr. Jen Campbell for City Council 2018,18
Doug Post for District 7,18
"Dirk Deaton for Missouri, Laura Pope, Treasurer",18
Diehl For Georgia,18
Deanna Frazier for State Representative,18
David Alvarez,18
"Daniel Nemec for Maryland, Patrick Jenkins, Treasurer",18
Dan Kowal,18
Dan Hynes,18
Cynthia for Government USA,18
Cullen Tiernan for Fremont City Council 2018,18
Councilmember Luis Chavez District 5 ,18
Coptic Solidarity,18
Community Associations Institute ,18
"Committee to Re-Elect Judge Shawn McCarver, Lee Thurman CPA, Treasurer",18
Committee to Elect Ty Nestor,18
Committee to Elect Rebecca Edwards,18
Committee to Elect Monica Sparks,18
Committee to Elect Lisa Dash-Grimes,18
Committee to Elect John Hart to Whitman County District Court,18
Committee to Elect Joe Lannan,18
"Committee to Elect Jimmy Leo Richardson Shaina Blair Richardson, Treasurer",18
Committee to Elect Jacob Straley,18
Committee to Elect Jackie Elward 2018,18
Committee to Elect Jackie Brunson Treasurer,18
"Committee to Elect Heim, Vicki Pugh, Treasurer",18
Committee to Elect Gretchen Hollar Kirkman as District Court Judge,18
Committee to Elect Campbell,18
Committee to Elect Benton Howell,18
Committee to Elect Ashlee Cole Trehern for Judge ,18
Committee To Elect Glen Casada ,18
"Committe to Elect Jason Shaffer, Treasurer - Bruce Galloway",18
Committe Narvaez For Napa City Council 2018,18
City of Las Cruces,18
"Citizens of Montgomery County for Sheriff Jae Hwang, Treasurer John Ki.",18
Citizens for Stinziano,18
Citizens for Seth Lewis,18
"Citizens for Judge Scott Hayes, Ann Martin, Treasurer",18
Chris Moore for Mayor,18
Chintan Desai for Congress,18
Center for Community Change,18
CatholicVote,18
"Carol Abney for House 38, Susan Bailey Treasurer",18
Campaign to elect Justin Davis,18
Campaign to Elect Proncey Robertson,18
CHRIS THOBABEN COMMITTEE TO ELECT FOR STATE REPRESENTATIVE,18
CARE FL,18
Bridgeport Generation Now ,18
Brianna For Colorado,18
Brian Glorioso,18
Born Red,18
Bob Rosipal for Sheriff,18
Bill Smethers for Nevada County Sheriff - FPPC #1398939,18
Beth Griffin for State Representative,18
Benham for Benton,18
Ben Baker for Dayton Mayor,18
Becky St. John Campaign,18
Be the Change PA,18
Batman for Assembly,18
"Barbara Sanders, nonpartisan candidate for Franklin County Judge.",18
Baker Kurrus for Mayor,18
"Authority, Committee to Elect Bobby Zirkin, Erik Atas, Treasurer",18
"Authority Friends of Tammy Larkin, Ohlen M. Hunt, Treasurer",18
Apex Clean Energy,18
Anita Burroughs for New Hampshire,18
Andrew Johnson,18
Andrew Collins for State Representative,18
Anaheim Firefighters Association,18
American Patriots PAC. Not authorized by any candidate or candidate’s committee.,18
"Amber Gustafson for Iowa, Megan Albaugh, Treasurer",18
Alicia Scott Georgia Forward Campaign Committee,18
Alexandra Chandler for Congress,18
Alex Mendez for Senate,18
Alaskans Together For Equality ,18
Alan LaPolice for Congress,18
Adams for Arizona | Authorized by Talonya Adams,18
Acessa Health,18
Abraham Aiyash for Senate,18
AMERICAN FUTURE FUND. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. ,18
AARP Georgia,18
A Wider Bridge,18
A Beautiful Perspective ,18
7th District Town Hall,18
"30x30, FF&L",18
#VOTEPROCHOICE,18
" Miller & James, LLP",18
" Emily Shank for Delegate, Richard V. Boswell, Treasurer",18
" Chris Ferguson, concerned citizen",18
" Brandon Brown for Congress        "" Put SC 4th First """,18
"★ The Friends of Tim Richards ★ P.O. Box 6741 ★ Kamuela, HI. 96743 ★",17
with regulated funds by Healthy and Productive Michigan,17
those who want to make our communities stronger,17
the committee to elect Jack Maddux for Congress,17
the Tallahassee Replican Club. Not Authorized by any Canddiate or Comittee.,17
the Republican Assembly Campaign Committee,17
the Pennsylvania Democratic Party.,17
the Paulette Jordan Campaign,17
the National Association of REALTORS®,17
the Matt Shaheen Campaign,17
the Les Farnum Campaign,17
the Iowa Democratic Party. Authorized by Kayla Koether.,17
the Greater Kansas City Women's Political Caucus,17
the Gordon School,17
the Friends for Lesley Cohen,17
the Committee to Elect Sean Costello,17
the Committee to Elect Nancy Carlton Bendinger,17
"the Committee to Elect Mary Scott Hunter, PO Box 18572, Huntsville, AL 35804",17
"the Committee to Elect Jim Bratnober - Laura Metzler, Treasurer",17
"the Collum for Idaho Campaign, Donna Pence Treasurer",17
the Candidate,17
private citizens supporting conservative policies,17
michael a hall,17
friends of Suzanne Viscomi,17
"by Darren Deacon for State House , po box 57, Kalskag,Ak,99607",17
and approved by Carol Boston.,17
Zellner for Chair,17
Young Evangelicals for Climate Action,17
Yolanda Smith Charles,17
Yes for Belmont,17
Wounded Warrior Project,17
"Woodruff, D'Aquila and Greco for Berkeley Heights",17
Wisconsin Homeowners Alliance,17
Wilhour for Illinois State Representative 107th District.,17
Wild Planet Limited,17
Wexton for Congress,17
Welle For Congress,17
"Weatherby for District 37, PO Box 611, King Salmon, AK. 99613",17
Waters Kraus & Paul,17
"Vote Robert L. Smith, Dianne L. Smith Treasurer",17
Vote Phill Wright for House District 19,17
Volunteers for Wayne Groff,17
Valdez for Colorado,17
Trunkey for Saugus School Board 2018 - FPPC 1377450,17
Tristan Cruz,17
TriMet,17
"Trey Winder for State Representative, Amy Goodin Treasurer",17
Transportation Is the Future,17
Tomlinson for Senate,17
Tom Macarthur for Congress INC. ,17
Tom Langan for Judge,17
Todd Hendreks for Town of Parker Town Council,17
Theo Ellington for Supervisor 2018,17
The World Against Cruz,17
The Scott County Democratic Party,17
The Right to Bear Memes,17
"The Republican Party of Nelson County, Kentucky",17
The People's Campaign to Elect Lewis Conway Jr for District 1 ,17
The Lens,17
The Leczynski Committee,17
The Friends of Troy Odom,17
The Committee to Elect Steve Greene,17
The Committee to Elect Johnny Gardner Horry County Chairman ,17
The Committee to Elect Jackie Wright,17
The Committee to Elect Holly Williams,17
The Committee to Elect Diana Szynal ,17
The Committee to Elect Chaundra Lewis,17
"The Committee To Elect Al Booth 512 Wetumpka Street Prattville, AL 36067",17
The Brian M. Middleton Campaign,17
The Bedminster Democratic Committee,17
"The Alaska Support Industry Alliance, 3301 C Street, Suite 205, Anchorage, AK 99503",17
Texas Public Policy Foundation,17
Texas Alliance for Life,17
Tennessee Justice Center,17
Ted Howze for Congress,17
"Team Tong 2018. Tim Larson, Treasurer. Approved by William Tong.",17
Tablet,17
T Parks Inc - CEO Ted Parks - Chicago - Blue State News ,17
Syms For Arizona,17
Susan Shelton Perry,17
Stormey Primm for Coroner,17
Stidham for Portage,17
"Steve Ahlquist, writer/editor of UpriseRI",17
Spencer for Pensacola,17
Socially Responsible Agricultural Project ,17
Sobampo for Justice of the Peace,17
Sheryl Orwel for Civil Court Judge ,17
"Shayan Elahi for Irving Place 6 Campaign, Bhavik Amidas, Treasurer",17
Shawn Wright for City Council,17
Sharon Quirk-Silva,17
Sharen Wilson for DA,17
Secure Sonoma,17
Scott County for Chris McDaniel,17
Schwartzenberger4Sheriff & Gary Schwartzenberger,17
"Schauss for Wright County, PO box 267, Albertville 55301",17
Save the Turtles,17
Sara Peterson for HD41,17
Sandra Peake for Judge Campaign,17
SANDOVAL FOR CITY COUNCIL DISTRICT 5 2018,17
SAM Action,17
RxAccess for New Jersey,17
Ruth Ward for State Senate,17
"Rudy Favila, Democrat, for Mayor",17
"Rubicon Programs, Inc.",17
Robert Conklin for City Council 2018,17
Riveters Collective PAC (Riveters Collective). Top Contributor: James L. Swift.   No candidate authorized this ad.,17
Rita Vogel for Mason City Council,17
"Rick Roth, Republican for Florida House of Representatives, District 85",17
"Richard Neal for Congress Committee, Treasurer Michael F. Hall",17
Richard Harris for Mayor,17
Retirement Wealth Network,17
Republican Party of Virginia,17
Recirculating Farms Coalition,17
Rebecca for Northern Colorado,17
Re-Elect Rick Miller,17
Re-Elect Michael Oliveira for Calaveras County Supervisor FPPC 1400869,17
"Re-Elect Charles Allen for Ward 6, Pat Johnson, Treasurer, 1530 D Street, NE Washington, DC 20002",17
Raquel Terán for Arizona House of Representatives. Authorized by Raquel Terán.,17
Raoul for Illinois,17
"R. Johnson, CEO - Political Shirt Outlet",17
Public Citizens for Children and Youth,17
Proud American Supply,17
Population Connection Action Fund,17
Political App,17
Pocket Your Dollars,17
Pirani Life,17
Phoenix City Councilman Sal DiCiccio,17
"Phil Martin for DeLand City Commissioner, Seat 5.",17
Peters for House,17
Peter De Neufville For Congress,17
"People for Naomi Evans PO Box 6003 Bremerton, WA 98312",17
Patrick Floyd,17
Patiño for City Council 2018,17
Pam Sutton for Lee County Board of Education,17
"Paloma Aguirre for Imperial Beach City Council 2018 , FPPC ID No: 1404066",17
Paid for by Julie Morrison for State Senate,17
Owen Hill for Congress,17
Our Health California,17
One Fair Wage DC Committee,17
Oliverio for Supervisor FPPC#1394828,17
Oklahomans for Constitutional Integrity,17
Nuclear Hotseat donors,17
Northern Plains Resource Council,17
Northeastern Minnesotans for Wilderness,17
Northeast Charter Schools Network,17
Nitesh Patel for City Council 2018,17
Nick Lampson For County Judge Campaign,17
Neighbors for Mitra Jalali Nelson,17
Myrna G San Miguel Treasurer,17
Movement for Housing Justice,17
Mississippi Public Service Commission,17
"Mike Van Dyke for Sheriff, Ed Cope Treasurer",17
Mike Gill (State of Corruption),17
Mike Carey for State Senate,17
"Michigan Regional Council of Carpenters, Operating Engineers 324 and Michigan Laborers District Council ",17
Mesa Fraternal Order of Police Lodge 9,17
Merrilee for Tennessee,17
Melissa Fults for State Senate,17
Meg Walsh for Texas,17
Maureen Leidy for Atlantic County Freeholder,17
Mason for Maine.,17
Martin for Freedom,17
Malcolm Cherry for State Representative ,17
"Maine Women Together, 102 Mitchell Rd, South Portland, ME. NOT PAID FOR OR AUTHORIZED BY ANY CANDIDATE.",17
MOLLY NEUMAN FOR JUDGE 2018,17
MD Kiddy,17
Luis Andrade,17
Lonnie Williams concerned citizin,17
"Len in 2018, Christine Mulligan, Treasurer. Approved by Len Fasano",17
Lee Chatfield,17
Lawrence County Republican Executive Committee,17
"Laura Cattabriga, Non-Partisan, for Mayor of North Bay Village",17
"Lamb for Justice Committee, Bob Fenlon, Treasurer",17
"Kimberly Tijerina, Treasurer",17
Kenny Johnson for City Council ,17
Kenis For Herndon,17
"Keisha Bell, Democrat, For State Representative, District 70",17
"Katye Campbell for Brevard School Board, District 5.",17
Kahill for Judge of Probate,17
Julio Gonzalez for Congress,17
John Valdes,17
John Horner for MHUSD Area 2,17
"Joel Keller for BART 2018, FPPC ID #1288992",17
Jim & Madelyn Meyer,17
Jerry Trooien for United States Senate,17
Jerry Calderon,17
"Jennifer Vannoy for the People, Wanda Ogletree, Treasurer",17
Jefferson County Democratic Party,17
Jeff Matemu for Congress,17
Jeff Bleich for Lieutenant Governor 2018,17
Jani Iwamoto For Utah Senate,17
James B Chapman for Sheriff Campaign,17
Jacob Hilliker for Bay County,17
"Jack Eaton for Mayor  920 Vesper Rd., Ann Arbor, MI 48103",17
InMaricopa Media and News Organization ,17
Ignatian Solidarity Network,17
Howard Slugh,17
Houston Young Republicans,17
Heath Rassner for State Representative,17
Global March for Elephants and Rhinos ,17
"George Marin for Mayor, 1311 So 4th Ave, Albert Lea MN 56007",17
GO Public Schools Oakland Advocates,17
Friends of William Degnan,17
Friends of Victoria Gearity,17
Friends of Todd Blackburn 2018,17
Friends of Sean Quinlan,17
Friends of Mike Printup,17
Friends of Mike Murphy,17
Friends of Matt Marko,17
Friends of Mark S. Lynch,17
Friends of Mark Kinner,17
Friends of Kevin Adam Steen,17
Friends of Kelly Albright 2018,17
Friends of Kauanoe Batangan,17
Friends of Kaleiaina,17
"Friends of Julie Brewington, Susan Warthen, Treasurer",17
Friends of Josie Raymond,17
Friends of Jewelyn Cosgrove,17
"Friends of Jasmine Boyd, Verushka Wilson, Treasurer",17
Friends of JD Greening,17
Friends of Gilbert Villegas,17
Friends of Frankie Floied,17
Friends of Darlene Kloeppel,17
Friends of Darian Moore ,17
Friends of Christy Inskip ,17
"Friends of Christian Miele | Treasurer: Richard ""Maynard"" Thurfield",17
Friends of Anna Dearmore 2018,17
"Friends of Amber Lee 17211 Kings Way Drive, Anchorage, AK 99516",17
"Friends of Alicia Maluafiti ☑ 91-2985 Fort Weaver Rd. Ewa Beach, HI. 96706",17
Friends of Aaron for County Council,17
Friends for the Election of Judge Stephen Clark 2018,17
Friends for Thornton,17
Friends for Sydney Batch,17
Friends and Family of Marquette D. Gilchrest for Commissioner,17
"Friends Of Shaul, Scott Brothers Treasurer.",17
Freedom for All Americans,17
Franklin County Democratic Party,17
"Frank Miller For Judge, Ross Bennett Treasurer.",17
Fischer for Representative ,17
Feroce For Governor,17
Families for John O'Brien,17
Faith for SD 24,17
Facts For Working People,17
Eugene Hoover for Nevada,17
Erick Erickson,17
"Eric Stocker for State Representative P.O. Box 279, Marysville, MI 48040",17
Equality Now,17
Elect Daron Morris,17
Elect Darin for House,17
Elect Bob Steinburg,17
Ed Gogek for State Representative. Authorized by Ed Gogek.,17
Earl Bowerman for Congress,17
Donn Scott Jr,17
Diesel Technology Forum,17
Decaying In The Void,17
DeFazio for Congress,17
Davis Gateway Student Housing LLC and Affiliated Entities,17
David Lossing for State Representative ,17
Darius Brown For State Senate,17
"Danny Farrar For Frederick | Jennifer Wilcox, Treasurer | P.O. Box 522, Walkersville, MD, 21793",17
DTN/The Progressive Farmer.,17
Cumiskey and DeSarno for Council,17
Cote For Maine,17
Cook For Deschutes,17
Conservatives for Stringer,17
Conservative Christians of Tennessee,17
Committee to elect Matt Bullock,17
Committee to Keep Judge John E. Reynolds,17
Committee to Elect Tim Ridge for Ward 2,17
Committee to Elect Steven Reynolds,17
Committee to Elect Sarah Kovoor for Judge,17
Committee to Elect Rick Tillis,17
Committee to Elect Quentin Palfrey,17
Committee to Elect Liz Walsh,17
Committee to Elect Kathleen Cleary,17
Committee to Elect Jessica Filiaggi,17
Committee to Elect Emily Best,17
Committee to Elect Collin Warren,17
"Committee to Elect Charles Steinberg Judge, Dennis Webb, Treasurer",17
