Yes! To Affordable Groceries ,5049903
Environmental Voter Project,65
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.,64
Home Media Consultants,64
Defend Arizona. ,64
Mike Levin for Congress,63
Build Colorado's Future Independent Expenditure Committee. Not authorized by any candidate or committee.,62
E.O. Wilson Biodiversity Foundation,61
Earthjustice,60
Basic Rights Oregon,60
Teamsters Joint Council 10,59
Follow the Facts,59
Distractify,58
Center for American Progress,58
Pigeon Media USA,56
Truthout,54
Nathan Berning,54
Friends of David Schweikert,54
Dakota Meyer,54
CREDO Mobile,54
Ammar Campa-Najjar for Congress.,54
Support The 2nd Amendment,53
Friends of Mark Pinsley,53
Colorado Values Project,53
Political advertisement paid for and approved by the Committee to Elect Adam Pollack Circuit Judge, Group 24,51
Oregonians United Against Profiling,51
RedBlueTracker,50
Color Of Change,50
USA Homeowner Help,49
The America First News,49
Suzanne Harrison for House,49
Educate Our Kids, We Are Grinnell.,49
Defending Donald,49
The Committee For Ranked Choice Voting,48
The Brady Campaign,48
Nick Guy for Sarasota County School Board, District 1.,48
Moms Clean Air Force,48
Barbara L'Italien for Congress,47
Skip Hall for Surprise,45
Sinema for Arizona,45
One Nation Design,45
Californians for Safe and Affordable Housing,45
Be a Hero PAC,45
the Committee to Elect Rachael Rollins,44
Wyoming Hunters and Anglers Alliance 501 (c) (4),44
U.S. National Committee for UN Women,44
Friends of Dorothy Merritt,44
Airline Passengers for Justice,44
Friends of Stan Sniff 2018,43
OuterGoods LLC,41
Equality Florida,41
the Friends of Jess King,40
World Wildlife Fund,40
The Committee to Defend The President,40
The American Friends Service Committee (AFSC),40
National Geographic Society,40
Hampton Institute,40
Confucius Institute U.S. Center,40
A Whole Lot of People for Grijalva,40
Tiffany Willis,38
The Poor People's Campaign: A National Call for Moral Revival,38
Shareblue Media,38
Jetties Bracelets,38
Eddy for Gresham,38
California Republican Party,38
the American Military Partner Association (AMPA),37
The Tilted Glass,37
Patriot Majority USA,37
Moses for Mayor,37
Clint Townsend,37
Rainforest Action Network,36
Little Dictator Game,36
Left Over Rights LLC, an independent grassroots movement that receives absolutely zero funding from any political entity  ,36
Kenneth Mejia for Congress,36
John Dishwasher,36
Boucher for CT, Ellen Essman, CPA, Treasurer. Approved by Toni Boucher,36
the National League of Cities,35
Priorities USA Action and SMP. Not authorized by any candidate or candidate's committee.,35
Jess Phoenix for Congress,35
Yale Environment 360,34
Jennie Lou Leeder for U.S. Congress,34
JD and Kate Industries,34
Friends of Dana Nessel,34
Center for Reproductive Rights,34
The Collective PAC; not authorized by any candidate or any candidate's committee.,33
Feinstein For Senate 2018,33
Change the Rules,33
the National Center for Public Policy Research,32
World of Children,32
The Global Catholic Climate Movement,32
Paid for by Living Wage for Educators and United Educators of San Francisco - Yes on G. ,32
Delgado for Congress,32
PACRONYM. Not authorized by any candidate or candidate’s committee,31
Kilili for Congress,31
Kate Brophy McGee AZ - Senate,31
Friends of Dan Kildee,31
UsAgainstAlzheimer's,30
The Rutherford Institute,30
TRAVIS ALLEN FOR GOVERNOR 2018,30
National Farmers Union,30
Denver Elections,30
Center for Victims of Torture,30
AARP ,30
The King's Necktie,29
The Federal Practice Group,29
Ryan Petty for Broward County School Board, District 8, Nonpartisan.,29
Grassroots For You,29
Earth,29
Polk "Cat Brooks" for Oakland Mayor 2018 #1405474,28
People's World,28
Lemony Tree,28
Hornet,28
Brian Payton for Eureka City School Board,28
 John James for Senate, inc.,28
Thrasher Coffee,27
Michigan Leadership Committee. Not authorized by any candidate.,27
Justin Haskins,27
Forward Not Back. Not authorized by any candidate or candidate's committee. http://www.forwardnotback.org,27
Conservative Investor Daily,27
Blue Wave Voters,27
Aspire Gear,27
the John Quincy Adams Society,26
VICELAND,26
Sloan for Arizona,26
Republican Liberty Caucus,26
National Religious Campaign Against Torture,26
Kathleen Rice for Congress,26
In Search of Liberty,26
Great Public Schools for US,26
Diana Arezzo, Ph.D., concerned private citizen, solely for the purpose of increasing post reach,26
China-US Focus,26
Cannabis News Update,26
the ImpeachMint Project,25
and authorized by Run Aaron Run & Aaron Chadbourne,25
Planned Parenthood Minnesota, North Dakota, South Dakota Action Fund,25
John Haste for State Senate 2018,25
Catholic Relief Services,25
Anti-Defamation League,25
the Committee to Save Idaho Horse Racing, Create Jobs, and Fund Public Schools,24
mitú, Inc.,24
Lexy,24
Dr. Dena Grayson,24
ArtProfiler, Austin's Premiere Online Cultural Magazine,24
The Daily Wire,23
Republicans for the Rule of Law,23
Opportunity First,23
Kentucky Family Values,23
by Jim & Madelyn Meyer,22
UNICEF USA,22
SAVE Action PAC,22
Nick Wu,22
Justice San Diego supporting Genévieve Jones-Wright for District Attorney 2018, sponsored by Alliance San Diego Mobilization Fund. Committee major funding from: Quinn Delaney,22
EMILY's List, www.emilyslist.org, and not authorized by any candidate or candidate's committee.,22
EFB Advocacy,22
Andy Kim for Congress,22
TrumpStarSticker,21
True Patriot Wear LLC,21
Ryan Hampton,21
Political Plunder,21
NTK Network,21
John Ward for Congress, Inc.,21
Holscher for Kansas, Debby Daniels, Treasurer,21
Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624,21
Gathering Together,21
Rebecca Purington Campaign.  Missy Horesh, Treasurer.,20
PETA,20
Define American,20
Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,20
The committee to elect “Alton Wright for Supervisor 2018” FPPC# 1402609 ,19
Mariah Phillips for Congress,19
Gumbo PAC,19
Debra Hilstrom for Attorney General,19
Capitol Ministries,19
Bill Schuette for Governor,19
the Starboard Side,18
Rory Allen,18
Republican State Leadership Committee,18
Liberty Nation,18
Levenson for Congress,18
Julia Brownley for Congress,18
Friends of Darrin Camilleri,18
Dean Obeidallah,18
Citizens for Stinziano,18
Buffy Wicks for Assembly 2018. FPPC #1396734,18
the Democratic Party of Illinois,17
and authorized by Janet Mills for Governor.,17
SAM Action,17
Main Street Investors Coalition,17
Jumaane D. Williams,17
Jim Orrico for Illinois Congress ,17
Friends of Dana Balter,17
Family Policy Alliance,17
Amie Hoeber for Congress,17
UDW Home Care Providers Union,16
Texas Public Policy Foundation,16
Rishi Kumar for Council 2018 (FPPC Id 1364692),16
PubTalks,16
Ploughshares Fund,16
GS Marketing LLC. ,16
Connected Commerce Council (3C),16
Catalyst Oklahoma,16
Ann Fields,16
Viva Savings, an internet store,15
Recovery Advocacy Project ,15
Online Carry Course,15
Mickie's Miracles,15
Matt Longjohn for Congress,15
Dan David for Congress. ,15
Colin for Colorado,15
Aftab for Ohio,15
Young Evangelicals for Climate Action,14
Personal Liberty,14
Morrisey for Senate, Inc.,14
Mike Ellison for Oregon,14
Hatfield 2018. Loretta Chory, Treasurer. Approved by Susan Hatfield. ,14
Gregory For Missouri, LK "Chip" Wood Treasurer.,14
Friends of Chris Murphy,14
Flanders for U.S. Senate,14
Committee to Elect Charlesetta Wilson,14
Christine Drazan for State Representative,14
American Civil Liberties Union,14
the Campaign to Elect Nancy Lusk,13
Shareable,13
Portside,13
MARIA ELVIRA SALAZAR FOR CONGRESS,13
Jeff Triplett for Mayor of Sanford,13
Gabbert For Judge, 301 N. Market St., West Union, OH  45693,13
Friends for Steve Sisolak,13
Come Back O,13
Block Bronx Bolshevik,13
Begley for MUD Board.,13
2atees1,13
 Allied Progress Action,13
Yes for Affordable Housing,12
Political App,12
Paul Davis for Kansas,12
Paid for and approved by Christian Ziegler, Republican for Sarasota County Commission, District 2,12
Ohio AFL CIO,12
New Mexico Voices for Children,12
Kaump for Wisconsin,12
Johnson for Governor,12
Jackson for Congress,12
Healthy Nevada PAC,12
All electoral content on this account is prepared by the SEIU Minn State Council Political Fund, 2233 University Ave W, #422, St. Paul, MN 55114, as an independent expenditure, and is not approved by any candidate nor is any candidate responsible for its content.,12
The Independent Republicans of Wyoming, a registered 501(c)(4). The Independent Republicans of Wyoming is not affiliated with any political campaign and this website was not authorized by any candidate or candidate's committee.,11
The Committee to Elect Otha Thornton,11
SOS International ,11
MAST FOR CONGRESS,11
Lislegard for House 6B Committee,11
Friends of Lori Chavez-DeRemer,11
Forward With Flynn,11
Ed Emmett Campaign, Tom Kennedy, Treasurer 2726 Bissonnet, Suite 240-144 Houston, TX 77005,11
ERIC BRAKEY FOR U.S. SENATE,11
Dodson for Senate – Wyoming First,11
Dean Johansson for Yolo County District Attorney 2018 FPPC Committee ID # 1401524,11
South Florida Wildlands Association,10
Not One Penny,10
NYS SRCC,10
Matt Haggman for Congress,10
Lupe Valdez for Governor,10
Housley for Senate Committee,10
the Committee to Elect Stacy Nunnally. Stacy Nunnally, treasurer.,9
State Innovation Exchange,9
Scott Davis for Sheriff, 2018,9
Montera for CU Regent,9
John Carter for Congress,9
Jay for House, PO Box 600264, St. Paul, MN  55106,9
James Erb,9
Giacomi for State Rep, Eileen Conard, Treasurer; Approved by Steve Giacomi.,9
California Republican Party www.cagop.org,9
CALinnovates,9
Barbuto for Commission,9
Americans for Prosperity Foundation,9
Zack Fields for State House ,8
Utah For Bernie Sanders,8
Tim Greimel for Congress,8
The Committee to Elect Gary Broderick,8
San Francisco Parent PAC. Financial disclosures are available at sfethics. This advertisement was not authorized or paid for by a candidate for this office or a committee controlled by a candidate for this office.,8
Kathy Manning for Congress,8
JoyAnn Ruscha for RTD B,8
Freedom United,8
FRIENDS OF RENEE HOAGENSON,8
Cheri Helt for State Representative,8
Treasure Coast Conservatives,7
THE REPUBLICAN PARTY OF KENTUCKY. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE COMMITTEE. 502.875.5130,7
Rep. Ted Lieu,7
People for Matt Jones,7
Paid for by Public Safety for a Safer Santa Clara Supporting Hirokawa for Sheriff 2018, sponsored by the Deputy Sheriffs’ Association of Santa Clara County. Not authorized by a candidate or a committee controlled by a candidate. Committee major funding from Deputy Sheriffs’ Association of Santa Clara County.,7
NYS Laborers' LECET,7
NARAL Pro-Choice America. ,7
Mi Familia Vota Education Fund,7
Matt Hall for Mayor 2018,7
James for NY,7
Friends of Tom Barrett, PO Box 121, Charlotte, MI 48813,7
Friends of Sarah Elfreth; Michael G. Miller, Treasurer,7
Children's Action Alliance,7
Arjun Sethi, Author of American Hate,7
5th Square,7
the Foundation for Independent Voter Education,6
the Committee to Elect Kate Campanale,6
Working America,6
Willie Gray for AL House 102,6
Stand for Salmon,6
Shawn Nelson For Congress,6
Raybould for US Senate,6
Paid for by The Committee to Elect Otha Thornton,6
Nicole George for Metro Council 21,6
NextGen Climate Action Committee,6
Friends of Matt Gaetz,6
Elect Deborah Kafoury,6
Diehl for U.S. Senate,6
Committee to Elect Lisa Stone Barnes,6
Turco for Newington, Michael Nafis, Treasurer. Approved by Gary Turco,5
Tableau Magazine,5
SEIU Local 2015,5
SC Alliance To Fix Our Roads,5
Rick Green for Congress,5
Oregonians for Better Government,5
New American Media Group,5
Matt Brown for Governor,5
Jeff Brandes, Republican, for State Senate,5
Interwest Energy Alliance,5
Glisson for Congress,5
Friends of Whitver,5
Friends of Josh Green,5
Frantz for State Senate. Robert J. Oca, Treasurer. Approved by Scott Frantz.,5
Facts and Logic about the Middle East (FLAME),5
Dominion Energy,5
Debbie Nez Manuel for AZ Senate and Authorized by Debbie Nez Manuel,5
DTE Wind Energy,5
Cynthia for New York.,5
Citizens for East Lansing's Future,5
Caleb Frostman for State Senate,5
Brandman for City Council 2018 • FPPC ID No. 1405312,5
Utah Decides Healthcare ,4
Sharon Hirsch Campaign.,4
Roberts for Congress,4
Rich McAdams for State Board of Education ,4
Paid for by Sam Jammal for Congress 1001 E Chapman Ave. | Fullerton, CA 92831,4
Paid for by Dave Jones for Attorney General 2018,4
Official Funds from the Office of Congressman Tom Reed,4
Newsom for California – Governor 2018,4
Merlin Klotz for Douglas County Clerk and Recorder,4
Lesley for CU Regent,4
Juan Alfonso Fernandez-Barquin, Republican, for State Representative, District 119,4
Josh Hill for Oregon,4
Joe Shirley, Jr., for President 2018,4
Jobs for Montana PAC Lorna Kuney, Treasurer PO Box 1538 Helena, MT 59624,4
Jeff Jackson for NC Senate,4
JUSTIN FAREED FOR CONGRESS - FEC# C00572560,4
Hometown Freedom Action Network,4
Gary Siegwarth,4
Friends of Thomas "Mac" Middleton, Earle Knapp, Jr., Treasurer,4
Friends of John Olszewski Jr.,4
Florida Republican Senatorial Campaign Committee,4
Chris Pappas for Congress,4
Charles Parker Campaign, Brevard School Board District 2,4
CLARKE TUCKER FOR CONGRESS,4
Aric Nesbitt for State Senate,4
the North Carolina Democratic Party. Authorized by Committee to Elect Joe Webb NC Senate 6,3
Ward for Kansas, Zach Ward Treasurer.,3
Ward 7 Dems for Action and Progress ,3
Urban Drainage and Flood Control District,3
Trent for Albany County Attorney,3
The Committee to Elect Petrus/Sanes for Governor & Lieutenant Governor ,3
The Committee To Elect Al Booth 512 Wetumpka Street Prattville, AL 36067,3
Stephanie Murphy for Congress,3
Solar Rebates,3
Scott Dianda for State Senate, PO Box 81, Calumet, MI 49913,3
Planned Parenthood of Advocates of Michigan | PO Box 15041, Lansing, MI 48901,3
Neal Simon for U.S. Senate,3
Nate McMurray for Congress,3
Matt Lederer for State Assembly,3
Karen Mayne for Utah Senate 5,3
Jonathan Lewis for Congress 2018,3
Idaho Freedom Action,3
Friends of Ryan Holt,3
Friends of Michael Guest,3
Friends of Jonathan Porter; Brenden Carlson, Treasurer,3
Families and Teachers United, sponsored by California Charter Schools Association Advocates. Committee major funding from Charter Public Schools PAC Funding details at www.fppc.ca.gov Not authorized by a candidate or a committee controlled by a candidate,3
Equality Texas.,3
Elect Kathy Hoffman for Superintendent,3
Debbie for Congress,3
Dean Adams for Tooele County Sheriff,3
David Trone For Congress, Inc. ,3
David Kim for Congress,3
Connect Southeast Michigan,3
Committee to Keep Judge Jeremy Mattox,3
Committee to Elect Chris Evans - Phillip N. Rogers, Treasurer,3
Citizens Clean Elections Commission,3
Bill Lee for Tennessee, Inc. - Fred Decosimo, Treasurer,3
Alyse Galvin,3
the United Association and not authorized by any candidate or candidate's committee.,2
the Turner Campaign,2
the Committee to Elect Katie McBrine,2
VOTE HEATHER CARTER SENATE,2
The Committee to Elect Alessandra Biaggi,2
Sunlight Arizona, a program of the One Arizona, a non-profit 501(c)3 organization,2
State Attorney Andrew Warren,2
SC Club for Growth,2
Re-Elect Jim C. Hanks for IID - Division 3,2
Ralph Norman for Congress,2
Paid for by New River Valley Indivisible and not authorized by any candidate or candidate’s committee.,2
Oral Health America,2
Nick Smith for Sheriff of Walker County • 758 Saragossa Rd • Nauvoo, AL 35578,2
Nick Josefowitz for Supervisor 2018,2
Mendelson for Chairman 2018,2
McCreight for Assembly,2
Judge David Farr Campaign, Elizabeth J. Farr, Treasurer, PMB 269, 5300 N. Braeswood – 4, Houston, TX 77096. In Voluntary Compliance with the Judicial Campaign Fairness Act. Any portrayals of Judge Farr in military uniform are to give biographical information. They ARE NOT an endorsements by the U.S. Army or Texas Army National Guard.,2
Jesse Gabriel for Assembly 2018 - FPPC ID No. 1400729 and Elect Jesse Gabriel for Assembly 2018 - FPPC ID No.1402641,2
Grego for House 2018 ,2
Greenberg for State Senate. Kelly P Ricciardi Treasurer. Approved by Adam D Greenberg.,2
Friends of Theresa Stegman, Paul White, Treasurer,2
Friends of Luke Wochensky,2
Friends of Dave Valesky,2
Friends of Dave Ernst; Chris Hendrix, Treasurer ,2
Friends of Ari Espinal,2
Friends for Miller-Meeks,2
Families For Nathan Dahm,2
Donna McLeod,2
David Chiu for Assembly 2018,2
Committee to Elect Rosabelle Gorman,2
Committee to Elect Marc Snyder,2
Committee to Elect Joan Carter Conway, Gerald Stinnette, Treasurer,2
Committee to Elect David Northcutt, P.O. Box 515, Montrose, AL 36559,2
Chris Wilhelm for County Council,2
Caroline Self for Senate, PO Box 714, Florence, AL 35631,2
California Life Sciences Association,2
CalChamber and the Civil Justice Association of California,2
Brian Spencer for Mayor,2
Brent Moody for State Representative, Austin McMullin, Treasurer,2
Authority, Committee to Elect Bobby Zirkin, Erik Atas, Treasurer,2
with regulated funds by Citizens for Sensible Government, PO Box 4, Rosebush, MI 48878,1
the Garrett for Statehouse Committee ,1
the Committee to Elect Zaragoza for I.I.D. Director Division #5 2018,1
the Committee to Elect Shane Sandridge,1
the Committee to Elect James Ohrenschall,1
Yvanna Cancela for Nevada,1
The Kevin Lopez Campaign,1
Texans For Bob Hall,1
Tarnas for State House, P.O. Box 6882, Kamuela, HI 96743,1
Steve Allison for Texas House,1
Social Math Productions LLC,1
Savage for Mayor Campaign,1
Sarah Godlewski for State Treasurer,1
Sara Rasmussen for House,1
SEIU on behalf of Dream Defenders,1
Robin Crossan,1
Repair Our Schools Now Coalition,1
Polis for Colorado,1
Ohio's Electric Cooperatives,1
Newton for Council,1
Means for AG.,1
Martin Harry Campaign,1
Lincoln Land Wind,1
Lesley Couch, Candidate for County Commissioner, D11.  Lesley Couch, Treasurer,1
Kitty Karle for Judge ,1
Keyes for Wisconsin, Treasurer:  David Luebke,1
Ken Summers for State Rep, PO Box 24 Baraga MI 49908,1
John Glenn for State House,1
Indivisible Action FL,1
Green For Chicago,1
Get Money Out - Maryland, an all-volunteer group seeking reforms so that so that all citizens have equal access to the ballot and an equal say in governance.,1
Gaughran 2018,1
Friends of Tabitha Isner,1
Friends of Scott Goldberg, Andre Smotherman, Treasurer,1
Friends of Russ Kenyon,1
Friends of Nate Loewentheil, Guy Tawney, Treasurer.,1
Friends of Meredith Wellington,1
Friends of LaVelle Compton for House District 90,1
Friends of Joel Rubin - Samuel Agger, Treasurer,1
Friends of Hiruy Hadgu, Aman Hadgu, Treasurer,1
Friends of Danielle Ford,1
Friends of Clarence Lam; Pat Payne, Treasurer.,1
Friends of Bridget Valverde,1
Friends of Adam Schwadron, Andrew Westerfeld - Treasurer,1
Dominic For Senate, Michele Berardo, Treasurer. Approved by Dominic Rapini ,1
Curt Benson for Kent County Circuit Judge,1
Committee to Elect Keri Ingle, Kenneth Ingle, Treasurer,1
Committee to Elect Jen Dailey-Provost,1
Coloradans for Fariness,1
Colleen Younger for PVA,1
Clean Energy Jobs Ohio,1
CTMT. David Desjardins, Treasurer. Approved by Christine Palm.,1
CTE John C. Cahalan, 500 Griswold St., Ste. 2450, Detroit, MI 48236,1
Anthony Mantova City Council #1406204,1
Alliance for a Better Minnesota Action Fund,1
the committee to elect Kendra Kenyon, Diane Westerberg, Treasurer,0
the Vincent Committee.,0
the North Carolina Democratic Party and Ric Vandett for NC Senate.,0
the North Carolina Democratic Party and Committee to Elect Terri LeGrand.,0
the North Carolina Democratic Party and Committee to Elect Joe Webb NC Senate 6.,0
the Keith Ellison for Attorney General committee, PO Box 80824, Minneapolis, MN 55408,0
the Democratic Legislative Campaign Committee,0
the Committee to Elect Rebecca Wininger,0
the Committee to Elect Michelle Ciccolo.,0
the Committee to Elect Emilie Kornheiser,0
the Committee to Elect Dan Koh,0
the Committee to Elect Ayanna Pressley,0
the American Heart Association,0
friends of Justin Hwang.,0
by GroundUp. Not authorized by any campaign, committee, or PAC.,0
and authorized by Committee to Elect Aaron Ford,0
Zya, Inc. ,0
Zoë Bands,0
Young Invincibles,0
Yes On 793, Inc. 4 NE 10th St #434 OKC, OK 73104 (405)510-7946,0
Xtinctio,0
Working Families Party,0
Woodard for Kansas. Shabina Kavimandan, Treasurer.,0
WomenStrong International,0
West Virginia Strong,0
West Hill Community Association,0
Water Lifestyle Co.,0
Washington State Democratic Campaign,0
Washington Speakers Bureau,0
Washington Alliance for Humane Legislation,0
WNYC,0
W. Scott Howard for Idaho,0
Vulcan Inc.,0
Velasquez for Council 2018,0
Upend, Inc. ,0
Upend, Inc.,0
Union of Concerned Scientists,0
Union Workers Have Rights ,0
Union Patriots,0
UWT Post-Prison Education Research Lab,0
US Lending Marketplace,0
UNITE HERE. Authorized by $15 for DIA.,0
Turn Washington Blue,0
TradeVistas,0
Trade for America,0
Tony Rackauckas for District Attorney 2018, FPPC ID# 970780,0
Tony Avella for New York ,0
Tom Del Otero (Kasie's Dad),0
ThoughtFull Enterprises, Inc.,0
Thomas A. Matthews,0
Theresa Gasper for Congress,0
The Years Project Action Fund,0
The Unofficial Bill O'Reilly Fan Club,0
The University of Chicago,0
The United Democratic Club,0
The Surfrider Foundation,0
The Straw Poll Report,0
The Southern Environmental Law Center ,0
The Refugee Center Online,0
The Pragmatic Libertarian,0
The People's Trumpet LLC,0
The Office of Mayor Ted Wheeler ,0
The Offensive Show,0
The Niskanen Center,0
The New Press,0
The Human Trafficking Institute,0
The Fortune Society,0
The Committee to Elect Joe Winfield Authorized by Joe Winfield,0
The Committee to Elect Eric Biggar,0
The Committee To Elect Larry Piegza,0
The #News,0
Texas Justice & Public Safety PAC,0
Teamsters 117,0
Team Diva Real Estate at Coldwell Banker Bain,0
Tammy Baldwin for Senate,0
TAS Apparel,0
T Love Inc,0
Svaty for Kansas, Shirley Jacques, Treasurer,0
SupChina,0
Suddarth for Congress,0
Stewart for Senate,0
Stabenow for U.S. Senate,0
St. Martin's Press,0
Spiritual Endeavors LLC,0
Soi Dog Foundation,0
Social Work Helper,0
Snohomish Citizens for Transparent Government,0
Smartwool,0
Smart Customer,0
Shaun Lee O'Sullivan,0
Shared Hope International,0
Shaffer Cormell for Judge 2018,0
Senior Lifestlye Improvement Inititive ,0
Seattle Parks Foundation with money raised by Debora Juarez,0
Sears For Justice,0
Sean Emerson,0
Scott Warren, Mt View WA Democrats,0
Scott Peters for Congress,0
Scott Ferguson for AMA Board of Trustees,0
Scott Baugh for Congress,0
Save the Turtles,0
Save the Redwoods League,0
Sarasota Citizen Martin Hyde,0
STAND FLAG POLES,0
SEIU on behalf of iAmerica Action,0
SEIU Healthcare Illinois & Indiana,0
Rory's Committee,0
Rooted in Rights,0
Rocky 101 LLC,0
Ro for Congress,0
Rivet and Box,0
Richard Chancy LLC,0
RevTees,0
Republican Job Insider ,0
Refuse Fascism Philly,0
Reese for State House 2018,0
Redneck Nation,0
Re-Elect Charles Allen for Ward 6, Pat Johnson, Treasurer, 1530 D Street, NE Washington, DC 20002,0
Rasputin's Liver,0
Raising Colorado,0
RTBiQ,0
REGULATED FUNDS BY MICHIGAN PLANNED PARENTHOOD VOTES SUPER PAC, P.O. BOX 15041, LANSING, MI 48901. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.,0
Pursuit, a non-partisan, non-profit organization,0
Progress Virginia,0
Prof.V.Randall,0
Prison Fellowship,0
Premiere Collectibles,0
PowerCA Action,0
Portland Democratic Socialists of America,0
Politicon,0
Political advertisement paid for and approved by Bob Doyel, Democrat, for Florida Senate District 22.,0
Planned Parenthood Votes New Mexico,0
Phone2Action,0
People for Ben,0
Paul McElligott, an individual.,0
Patriots for Steve Dakopolos,0
Patriot Journal,0
Patient's Rights Action Fund,0
Parents' Rights in Education,0
Paid for by National Health Law Program,0
Paid for by Jeff Sheehy for Supervisor June 2018. Financial disclosures are available at the San Francisco Ethics Commission website.,0
Paid for by Hubbell for Governor,0
Paid for by Friends of Josh Newman Opposed to the Recall. Committee major funding from: California Democratic Party, Californians for Better Communities, Opposing the Recall of Senator Josh Newman, sponsored by California Alliance for Jobs and the State Building & Construction Trades Council of California California Teachers Association,0
Paid Political Advertisement, Paid for and Approved by Shawn R. Frost for Indian River County School Board,0
Paid For By Friends Of Marilyn Mosby,0
PIVOT - The Progressive Vietnamese American Organization,0
Outrider Foundation,0
Our Big Lake,0
Organization for Competitive Markets,0
OpsLens. ,0
Open Doors USA,0
One Vote at a Time. Not authorized by any candidate or candidate's committee.,0
OD Action,0
North Cook News,0
North Carolina Democratic Party.,0
Normals Are Pissed,0
Newday,0
New Way California,0
Naytev,0
National Solar Rebate,0
National Clean Energy Week ,0
Nathan Fletcher For Supervisor 2018,0
Nancy Robbinson for Orange County School Board Chair (Nonpartisan),0
NM for Equine Rights & Open Government,0
NBCUniversal Media, LLC,0
Montanans for Tester,0
Molle & Alice,0
Modern Patriotism,0
Modern Medicaid Alliance,0
Military History Working Group at the Hoover Institution,0
Middle Class Voices,0
Mid Atlantic LECET,0
Metro East Sun,0
Mercy Corps,0
Menendez for Senate,0
Melanie Nutter for BART Board 2018,0
Matt Spritz, Republican, for State Representative,0
Mat Erpelding for District 19, Gail Bray -- Treasurer,0
Massoumi Web Holdings LLC,0
Mary Throne for Governor,0
Marty Lemert for State Representative,0
Mark DeShong,0
Maple Heights African American Gazette,0
Major funding by ACLU and ACLU of Northern California,0
MOLLY NEUMAN FOR JUDGE 2018,0
Los Angeles County Democratic Party,0
Live Action,0
Liberty Clothing Co.,0
Libertarian Party of Grays Harbor,0
Liberatore for Congress – 2018,0
Let America Vote,0
Learn Together, Live Together,0
Law Office of Eduardo Z. Herrera, LLC,0
Latino Community Fund (LCF Georgia),0
Lady Freethinker,0
LGBTQ Victory Fund ,0
Kulkarni for Congress,0
Knute for Governor,0
Know Colorado,0
Kevin de León for U.S. Senate,0
Kerri Evelyn Harris for Delaware,0
Ken Harbaugh for Congress,0
Keep Santa Monica Local.,0
Kaczmarek for Sheriff Committee ,0
Junk Box Entertainment LLC,0
Josh Gottheimer for Congress,0
Johnathan S. Perkins,0
John Upchurch for Congress,0
Joe Messerli,0
Joe McBride for State Supreme Court Judge,0
Job Creators Network (“JCN”),0
Jo Ann for Portland City Council Pos. 3,0
Jermaine for House. Authorized by Jennifer Jermaine.,0
Jeni Woock,0
Jay Helquist LLC,0
J Matthew Ash,0
Isaac Farris All opinions expressed are those of Isaac Newton Farris Jr. He is not responsible for any losses or damages due to the usage of the information read in his posts or on his website. Links to external sites in his posts or on his website are provided for convenience only Isaac Newton Farris Jr cannot be held liable for any content found there,0
Iron Liberty Group,0
Instagram,0
Indivisible Project,0
Indivisible Action,0
Indiana University Media School,0
Independent Women's Forum,0
Important, Not Important LLC,0
Ian Todd for Congress,0
I Am CA 22,0
Humane Voters of Washington PAC,0
Humane Society International,0
HomeGrown Tees,0
Hello Resistance,0
Heifer International,0
Headline Shirts,0
Hawkins Company,0
Hartwig for Wisconsin,0
Harder for Congress,0
Hanabusa for Governor,0
Grow Louisiana Coalition,0
Griffey 4 State House,0
Grabien,0
Global Justice Center,0
Gina Ortiz Jones for Congress,0
Giffords PAC,0
George Franklin for Congress,0
Gary Walker,0
GO PATRIOTIC,0
Front and Centered, P.O. Box 2822 Seattle WA 98111,0
From Prison Cells to PhD,0
Friends to Elect Dr. Lewis Brooks,0
Friends of William Tanoos,0
Friends of Toyin Fasakin,0
Friends of Shelaswau Crier, 187 High St. NE, Salem OR 97301,0
Friends of Rushern Baker III,0
Friends of Nicole Miller for HD82,0
Friends of Michela Skelton,0
Friends of Lorraine Wilburn.,0
Friends of Kirby Delauter,0
Friends of John Sarbanes,0
Friends of Jen Metzger,0
Friends of Holly Kim,0
Friends of Elizabeth Lockman,0
Friends of Derek Stanford,0
Friends of David Nygaard,0
Friends of Danny Tippit for District 3,0
Friends of Daniel Nguyen Committee for City Council,0
Friends of Dana Nessel ,0
Friends of Dana Beyer,0
Friends of Bruce Johnson for State's Attorney,0
Friends of Alfred Carr,0
Friends for Yvanna Cancela,0
Fresenius Medical Care.,0
FreedomWorks,0
Forward Thinking Media, LLC,0
Forward Not Back. Not authorized by any candidate or candidate's committee.,0
Florida Sunlight Project,0
Florida Senatorial Campaign Committee,0
Fipple,0
Fayrouz Saad for Congress,0
Faso for Congress,0
Eye Heart World,0
EveryDistrict PAC,0
Environmental Media Association,0
Emily Sirota for Colorado,0
Emerson College Polling,0
Emerging American Majorities,0
Emerge America,0
Elliott Adams for Senate Committee, Elliott Adams Treasurer,0
Elect Kathy Hoffman for Superintendent; Authorized by Kathy Hoffman,0
Elect Aaron Lieberman,0
