,16192690
Save The Storks,16412
Charlie Kirk,16220
Patient's Rights Action Fund,16004
the Church of Scientology,16000
Williamson for Monterey City Council 2018 ,16000
VOCA,16000
The Bay for Beto,16000
Omar Medina for School Board • FPPC # 1366360,16000
Mayor Bill Wells For Congress FEC ID# C00670489,16000
Juza4PUSD - Kevin Juza for PUSD Board 2018 FPPC #1406835,16000
Gallagher for Assembly 2018, ID# 1392567,16000
GH Palmer,16000
Friends of Dronenburg for Assessor 2018,16000
Chris Carlos for District Attorney 2018,16000
California Voter Research,16000
California Grocers Association,16000
Apartment Association of Greater Los Angeles,15999
Alan Geraci for State Assembly 2018,15999
Right American Way,15986
The Committee to Defend The President,15431
Forest Fire Facts,15269
Vanishingsf,15000
UC Hastings Law,15000
The Uplift Inglewood Coalition,15000
The Conscious Conservative Immigrants Of California,15000
Suavecito, Inc.,15000
Sandra "Pocha" Peña Sarmiento for Santa Ana City Council 2018 ID # 1403316,15000
Rudy Favila, Democrat, for Mayor,15000
Patriot Style,15000
Lionel for Benicia City Council,15000
Joshua Hoover for School Board 2018,15000
Join LAFD,15000
DrugJustice,15000
Cottie Petrie-Norris for California State Assembly,15000
Autumn Burke for Assembly 2018,15000
Angel PAC "We crowdfund advertising",15000
Scott Davis for Sheriff, 2018,14983
Pfizer,14921
Friends of Ryan Sundberg,14746
Alliance for Safety and Justice,14427
National Solar Rebate,14025
Scott Kuykendall for Superintendent of Stanislaus County Schools 2018 FPPC# 1398476,14000
Melissa Hurtado for State Senate,14000
Koi Rivers for Cosumnes CSD,14000
Friends of Ari Parker for City Council, ID #1400837,14000
Coalition for Humane Immigrant Rights ,14000
California Groundbreakers,14000
CRISTINA GARCIA FOR ASSEMBLY 2018  FPPC ID 1393064,14000
Valencia for Orange City Council 2018,13988
the Committee to Elect Gary Waddell for San Mateo County Superintendent of Schools,13977
Tony Rackauckas for District Attorney 2018, FPPC ID# 970780,13625
Winning For Women, Inc.,13300
Porter for Congress,13286
FreightWaves,13236
community volunteers,13000
Scott Parkin,13000
Scott Matas For Desert Hot Springs Mayor 2018,13000
Rashi Kesarwani for Berkeley City Council 2018,13000
Randy Fletcher for Supervisor 2018,13000
Policy Analysis for California Education (PACE),13000
Oliva for Council 2018 (FPPC #1407392),13000
National Wildlife Federation Action Fund,13000
Manveer Sandhu For Fairfield City Council FPPC ID# 1407298,13000
Laura Peters for Nevada Irrigation District Division 4 fppc #1404010,13000
Las Oficinas de leyes del abogado Alexander Cross,13000
Jag Bains for Natomas School Board,13000
Esteves for Mayor 2018 FPPC # 1401814,13000
Dave Smith for Lafayette City Council 2018,13000
Christina Strawbridge for City Council 2018  FPPC# 1339457,12996
The Record ,12995
Paul Bellar for San Francisco Assessor - Recorder 2018,12989
California Rifle & Pistol Association,12885
The Auto Alliance,12787
WeThePeopleHolsters ,12422
Run for Something PAC,12347
Conservative Gear,12296
NTK Network,12065
the National Association of REALTORS®,12000
Zak Schwank For Council 2018 (ID #1400231),12000
Yepez for LUSD Board Trustee Area 5 2018,12000
Vote Raymond Beaty,12000
Mike Judge,12000
Jose Moran 4 District 1,12000
John McDowell for San Carlos City Council 2018,12000
Friends of Marvin Heinze for Council FPPC ID# 1409185,12000
Democratic Club Of Ventura,12000
David Barlavi for Saugus School Board 2018,12000
Crimefighter Burton Brink for State Assembly #1399465,12000
Committee to Re-Elect Ray Buenaventura for Daly City Council 2018,12000
"Duke Nguyen for Sheriff 2018" FPPC#1399648,12000
UNITE HERE Local 30,11999
San Francisco Tenants Union PAC, FPPC # 1391749. Advertisements are not authorized by a candidate or a committee controlled by a candidate. Financial disclosures are available at sfethics.org.,11999
Giffords PAC.,11961
Congressional Black Caucus PAC,11759
Jesse Rojas - To The Point,11732
Everytown for Gun Safety Support Fund,11593
Doctors Without Borders/Médecins Sans Frontières (MSF),11533
TYT Network,11512
Patriot Majority USA,11314
Dr. Bronner's,11204
Rebuilding America Now Super PAC,11114
Conservative Tribune,11040
Re-Elect Judge Ulloa 2018,11037
friends of this organization,11000
YWCA Silicon Valley,11000
Villanueva for LA Sheriff 2018 - FPPC number: 1397275,11000
Ventura County Democratic Party,11000
The Alliance for Solar Choice,11000
Shawn Kumagai for Dublin City Council 2018 | FPPC #1406764,11000
Ribons for Judge 2018 Election Committee FPPC# 1401159,11000
Re:store Justice,11000
Rachel Kertz for Board of Education 2018,11000
People's House Project,11000
Michael Eggman for Congress.,11000
Melvin Willis for Mayor of Richmond 2018, Eduardo Martinez 4 Richmond City Council 2018, Ada Recinos for Richmond City Council,11000
Mark Gibboney for Mayor 2018 ID # 1402260,11000
Mag One Media for CHRISTIE CROMEENES FOR CITY COUNCIL,11000
Leticia Garcia for School Board 2018 ID#1401765,11000
John Lower Taxes Loew for Assessor 2018,11000
Friends of Sonoma County Parks - Yes on Measure M, FPPC# 1387826,11000
Friends of Bill Halldin for Rocklin City Council 2018,11000
Frank Luntz,11000
Drew Combs for Menlo Park City Council,11000
Diane Trautman for City Council 2018,11000
Debbie Lima, a constituent of CA48,11000
Colebrook for KHSD Trustee 2018,11000
Cliff Ireland for City Council District 1 2018 FPPC# 1402022,11000
California Rifle & Pistol Association Political Action Committee,11000
Ben Pak for Board of Equalization,11000
Barbara Lee for Congress,11000
Alexander for Hercules City Council ,11000
 Friends of Michael Mahony for Orange County Supervisor, 2nd District ID#1397621,11000
Bobby Khullar for Dublin City Council– 2018. FPPC ID# 1404867,10999
Heidi for North Dakota,10686
Healthy Forests, Healthy Communities,10389
Mi Familia Vota,10328
Aspiration,10156
Ranker,10152
Alliance for Climate Education,10102
the Committee to Elect Marlys Davidson,10000
sridhar verose for city council 2018 FPPC# 1403017,10000
keith blye,10000
Yvonne for Morgan Hill City Council Campaign,10000
WipeRecord, a division of Eastman Meyler, PC,10000
Western Center on Law & Poverty,10000
University of Southern California's Information Technology Program,10000
Tristen Walker-Shuman for BH School Board 2018 FPPC# 1407427,10000
Tiffany Stoker Madsen for Clovis School Board 2018 - FPPC #1405269,10000
The Surfrider Foundation,10000
The Peoples Climate Movement,10000
The Other 98% Action ,10000
The Embassy of the Netherlands in the United States,10000
Texas Public Policy Foundation,10000
Susan Rubio for Senate 2018 • FPPC ID #1392890,10000
Susan Custer for City Council 2018,10000
Steven Gibson,10000
Stephan for District Attorney 2018,10000
Southern Poverty Law Center,10000
Simran Kaur (FPPC# 1409604),10000
Santa Ana Building Healthy Communities ,10000
Richard Kahle for Congress,10000
Rabbi-Shmuly Yanklowitz ,10000
Protect San Jose,10000
Paid for by the City of Los Angeles.,10000
Paid for by Service Employees International Union.,10000
Paid for by GOAL SD,10000
O’Neill for City Council 2020 ID# 1380980,10000
National Tax Limitation Committee,10000
National Parks Conservation Association,10000
National City Residents for Fair & Equitable Housing, No On W. Committee Major Funding from: Issues Mobilization PAC Cal. Assoc. Realtors,10000
Liberatore for Congress – 2018,10000
Leeder Strategies,10000
Lakeport Police Department,10000
Kevin McCarty for Assembly 2018 ID#1392804,10000
KELLI WARD FOR SENATE, INC.,10000
Justin Quigley,10000
Janet Goodson for Mayor,10000
Jaime Hurtado for Supervisor 2018,10000
JUSTIN D SWEENEY,10000
Humboldt Citizens for Clean Energy,10000
Hispanic Access Foundation,10000
Friends of Belmont-Redwood Shores Schools 2018 – Yes on K, FPPC# 1402125,10000
Ferrentino for School Board,10000
Fair Census,10000
Escobar for CC 2018 #1401182,10000
Duane Roberts for Anaheim City Council 2018,10000
Don Barnes for Sheriff 2018, FPPC ID # 1397444,10000
Dave Potter for Carmel-by-the-Sea Mayor 2018,10000
Courtney Ruby for Oakland City Auditor 2018. FPPC ID# 1408075.,10000
Committee to Protect and Preserve Foster City — Yes on Measure P, FPPC# 1404940.,10000
Committee to Elect Jennifer Harris to Fullerton School Board,10000
Clean Energy California,10000
Center for American Progress Action Fund,10000
Californians Against Cruelty, Cages, and Fraud – No on Prop 12 – Sponsored by Humane Action Fund,10000
California Business and Industrial Alliance,10000
CHIRLA Action Fund,10000
Brad Westmoreland for Yuba City Council 2018 - FPPC #1408018,10000
Blue Shield of California,10000
Better Schools Anaheim,10000
Association for Accessible Medicines,10000
Abuse Guardians,10000
30x30, FF&L,10000
 Miller & James, LLP,10000
Committee to Re-Elect Mike Hestrin DA 2018 - FPPC#1356338,9998
ShareBetter,9997
Eduardo Soto PA & Eduardo Soto & Associates ,9997
Super LTD,9993
Tritch for Congress,9989
Paid for by Voters for a Real Change, Opposing Mark Leno for Mayor 2018. Committee major funding from:  Safe and Affordable San Francisco  This advertisement was not authorized by a candidate or committee controlled by a candidate. Financial disclosures are available at sfethics,9939
Donald J. Trump - online store for campaign gear,9874
the Committee to Re-Elect Ed Smith Monterey Council FFPC#140984,9787
Dinesh D'Souza,9679
Dillon for Supervisor - 2018, FPPC #1235339.,9638
ASMDSS, Inc,9457
Shawn Nelson For Congress,9364
 San Diego County Democratic Party  |   FPPC ID# 741906   |   FEC ID# C00402826,9316
the Voter Participation Center,9243
FreedomWorks,9158
FCTRY,9122
Paramount Network,9032
Public Land, Public Benefit, No on Measure E, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Committee major funding from H.G. Fenton Company and Sudberry Properties.,9028
American Beverage Association,9013
Turlock First,9000
Trevor O'Neil for City Council,9000
SANDOVAL FOR CITY COUNCIL DISTRICT 5 2018,9000
Paid for by Kev Abazajian for Irvine City Council 2018, FPPC ID # 1397701,9000
Paid for by Bublak for Turlock City Mayor 2018 ,9000
Movement for Housing Justice,9000
Marchon Tatmon, Mayor of Oakland 2018,9000
Lakin for Ventura City Council District 5 2018,9000
Ian Oglesby for Seaside Mayor, 2018 FPPC # 1406010,9000
Harney For Council 2018,9000
Figueredo-Wilson for City Council 2018 CA FPPC ID #1406904,9000
Committee to Recall Blanca Gomez,9000
Assemblymember Dante Acosta,9000
Heidi Messner for Mayor,8998
Anthony Mantova City Council #1406204,8984
Santa Clara Valley Water District,8978
Union of Concerned Scientists,8916
Conservative World Daily,8894
Public Land, Public Benefit, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Committee major funding from H.G. Fenton Company and Sudberry Properties.,8532
PrintedKicks,8299
Tracie Stafford for Elk Grove Mayor ID# 1397642,8000
The Committee to Elect Robert Garcia for Kings County Board of Supervisors District 3 2018,8000
Tania Garcia-Cadena for City Council Member,8000
Sukh Sidhu for Yuba City Council 2018 FPPC#1405793,8000
Sigala For Assembly 2018,8000
Saenz for Council 2018 FPPC 1406823,8000
KimGarnier4PUSD,8000
Justin Aguilera For Congress 2018,8000
Joel Engardio,8000
Jason Galisatus for Redwood City Council 2018 FPPC ID#1408859 ,8000
Human Rights Campaign San Diego,8000
Eddie De La Riva,8000
DrCameronJackson,8000
Committee to Elect Shanda Harry Judge - 2018 FPPC#1402199,8000
Cole McKnight for Judge 2018 FPPC ID 1400420,8000
Chris Young for City Council 2018,8000
Randy Walton for San Marcos City Council 2018,7991
PETA,7956
Political Institute for Women,7815
Stand Up America,7534
Aqua Zone Scuba Diving,7508
Sean Heileman,7231
Julio Castaneda and friends ,7175
32BJ SEIU,7148
Michael Podue for ILWU Vice President Mainland ,7129
christopher cooper,7000
The Coalition to Protect San Luis Obispo County FPPC # 1402803,7000
Right to Life of Kern County ,7000
Richmond District Democratic Club,7000
Raymond Mueller for Alum Rock Trustee 2018,7000
Oliverio for Supervisor FPPC#1394828,7000
Michelle Gomez for Supervisor, 2018 FPPC ID #1403953,7000
McAdams for City Council 2018,7000
Marshall Ketchum,7000
Marc Little 4 Mayor 2018,7000
Krista Bernasconi for Roseville City Council,7000
Ken Pfalzgraf for AADUSD Board of Trustees,7000
Justin Valero for Assembly 2018,7000
Josh Grossman for Sunnyvale City Council  FPPC Number 1404994,7000
John Russo for Mayor of Orange 2018 ID 1401900,7000
John Cates for Los Banos City Council District 3 2018 FPPC#1403052,7000
Janet Nguyen for Senate, FPPC ID#1373835,7000
International Socialist Organization - Bay Area District,7000
Gino Filippi for Upland City Council 2018 ID#1329509,7000
Gillibrand for Senate,7000
Friends of Steve Lustro for City Council 2018 (ID #1398563),7000
Distinguished Speaker Series of Southern California ,7000
Committee to Elect K Sims Trustee District 1 FPPC#1405543,7000
Committee to Elect Jackie Elward 2018,7000
Cindy Pickett for School Board 2018 FPPC ID#1394828,7000
Chandu Siramdas For Fremont City Council   R# 121107882,7000
 Cindy Silva for Walnut Creek City Council 2018 #1365770,7000
Samuel Chu,6998
Repair Our Schools Now Coalition,6997
Sonja Trauss for Supervisor 2018 FPPC #1397772,6952
Justice San Diego supporting Genévieve Jones-Wright for District Attorney 2018, sponsored by Alliance San Diego Mobilization Fund. Committee major funding from: Quinn Delaney,6942
UPROXX,6856
Yale Program on Climate Change Communication,6761
Ocean Conservancy,6677
Patriot Journal,6647
Pigeon Media, Inc,6598
Daily Wire,6322
Sandy Hook Promise,6253
Science for Humans and Freedom Institute,6116
the Orange County Young Republicans,6000
Tom Engdahl,6000
Timothy Alcorn for City Council 2018 FPPC#1409443,6000
Solar Rebate Today,6000
Social Democrat Hunchak Party - USA,6000
Perris Valley Chamber of Commerce,6000
Perea for SCCCD Area 5 2018,6000
Paid for by the Committee for Dr. Alex Glew for Assembly 2018,  FPPC #1402887,6000
OUSD Parents,6000
Napa Vision 2050,6000
Modern Whig Party of California,6000
Millbrae - Support Our Students, Yes on N, FPCC# 1399816,6000
Matt Francois for Walnut Creek City Council 2018 FPPC # 1405515,6000
Marvin Winans, Jr. For School Board 2018 | FPPC#1408696,6000
Marsha McLean for City Council 2018 ID#1373874,6000
Madhu Bajaj for School Board 2018,6000
Lucky Duck Foundation,6000
Kumar for Council 2018 (FPPC Id 1364692),6000
Islas for FUSD School Board 2018 FPPC#1408904,6000
Informed Vallejo,6000
Frank Barragan for San Benito Health Care Director 2018,6000
Farrah Khan for Irvine City Council 2018,6000
Escobar For City Council 2018 #1401182,6000
Doug Porter d/b/a San Diego Free Press,6000
Detrick for Council 2016 City Elk Grove, CA,6000
David Ross for Moorpark City Council 2018,6000
DONALD ROCHA FOR SUPERVISOR 2018, FPPC # 1393712,6000
Conti for College Board 2018 FPPC ID# 1407555,6000
Committee to Elect Tom Lopez Sheriff 2018,6000
Astraea Lesbian Foundation for Justice,6000
American Renewal Project,6000
Paid for by Janet Nguyen for Senate, FPPC ID#1373835,5999
Flow Communications,5999
Committee to Elect Robert A. "Bob" Espinosa for Judge 2018,5977
Nancy Pelosi for Congress,5957
Friends of Sherrod Brown,5924
Amnesty International USA,5641
International Brotherhood of Teamsters,5616
Peretti LLC,5490
UltimateStraw,5454
мои личные средства в рекламу моей компании,5450
David Chiu for Assembly 2018,5441
STARZ Shows,5414
Environmental Voter Project,5353
Pathway to Victory,5320
The Great Courses,5319
Catholic Relief Services,5318
Foundation for Economic Education,5233
American Wild Horse Campaign,5107
Sabrina Cervantes for Assembly 2018,5090
the Atlantic Council, a non-partisan, non-profit think tank focused on promoting constructive leadership and engagement in international affairs based on the Atlantic Community's central role in meeting global challenges.,5000
Voters Decide,5000
Vipan Bajwa for City Council 2018, FPPC#1410710,5000
Tracie Stafford for Elk Grove Mayor ,5000
The Calguns Foundation,5000
Sunrise PAC,5000
Sue Himmelrich for City Council 2018, ID # 1366428,5000
Steve Dunwoody for Assembly,5000
South Bay Labor Council,5000
Show In Progress with Matt Strabone,5000
Shagoofa Khan for Antioch School Board,5000
Scribd,5000
Save North Venice,5000
Ron Sterud for Huntington Beach City Council 2018.  FPPC # 1390290,5000
Rich Ober for Chico City Council 2018,5000
ResistryPAC; not authorized by any candidate or any candidate's committee.,5000
ReElect John Rizzo Community College Board 2018,5000
Pensler for Senate,5000
Nitesh Patel for City Council 2018,5000
Nayeli Maxson for Oakland City Council 2018 FPPC #1405187,5000
Nathan Fletcher For Supervisor 2018,5000
Mike Harris for Mayor of Petaluma 2018 ,5000
Michael Gaddis,5000
Manteca Trailer & Motorhome, LLC,5000
Manhattan Institute,5000
Long Beach Firefighters,5000
Las Americas Immigrant Advocacy Center,5000
L.A. County Strong,5000
Kern County Supervisor David Couch,5000
Ken Rawdon for HUSD School Board Committee, 2018,5000
KCET Artbound,5000
Joel Denver,5000
Jim Wood For Assembly 2018 - FPPC#1392333,5000
Jeff Vasquez Committee to Elect,5000
James Erb,5000
Important, Not Important LLC,5000
Hung Wei for Cupertino City Council 2018 FPPC ID 1404247,5000
HorizonATV,5000
Holly Hancock For Judge 2018 111 N. La Brea Ave. Suite 408 Inglewood, CA 90301 FPPC 1402901,5000
Heifer International,5000
Hebrew Immigrant Aid Society Inc,5000
Granville Homes,5000
Gina Clayton-Tarvin,5000
Gary Jeandron For State Assembly 2018,5000
Gardner For DHS Council 2018 FPPC # 1405627,5000
Friends of SDSU, Yes on Measure G, a coalition of SDSU alumni, business and community leaders. Committee major funding from Jack McGrory, Frederic Luddy and Edward Brown,5000
Friends of Kareem Gongora,5000
Firearms Policy Foundation,5000
Family Equality Council,5000
Emmanuel J Estrada For Baldwin Park Mayor 2018,5000
Ellie Householder for AUSD Trustee 2018,5000
Eckler for School Board 2018,5000
Dump Dana,5000
DrNormanQuinteroforPerrisSchoolBoard,5000
David for California,5000
Committee to Elect Jason Capell to Altadena Library District Board of Trustees,5000
Commit To Flip Blue,5000
Citizens for Excellent Local High Schools — Yes on Measure E, FPPC# 1403941,5000
Chavez for City Council 2018 | FPPC ID 1403504,5000
Charles Stone for Belmont City Council 2018,5000
Charles Coyne,5000
COMMITTEE TO ELECT STEVE DUCKELS YUBA COUNTY ASSESSOR 2018 FPPC ID# 1400495,5000
CA Political Review,5000
Business Leaders for Fair & Ethical Government to Support Anderson & Oppose Ramos for D.A. 2018 - 330 Encinitas Blvd., Ste. 101, Encinitas, CA 92024. Not authorized by a candidate or a committee controlled by a candidate. Committee major funding by: Canterbury Lots-68, LLC, Jeffrey Burum, Kellie Burum,5000
Beckmeyer for Council 2018, FPPC ID# 1406816,5000
Bakersfield Republican Women, Federated,5000
Abe Lincoln for San Luis Obispo City Council 2018,5000
 the committee to elect Dr. Garrett Wada for La Palma City Council 2018,5000
Kimberly Helms Lewis for District Attorney 2018,4998
Apartment Association of Greater Los Angeles County, Inc. (d/b/a, Apartment Association of Greater Los Angeles) and Issues Political Action Committee of the Apartment Association of Greater Los Angeles,4997
Change.org,4986
NRATV,4965
Vote4DA Campaign, a project of the ACLU of California,4963
Jeff Reisig for DA.,4951
Shannon Grove for State Senate 2018,4936
Friends of this project,4870
Mercedes Monitor,4781
45 Hats,4755
Aftab for Ohio,4590
GOP Gifts,4582
Mercy For Animals,4495
Diversity Incorporated ,4445
AIPAC,4307
Remezcla,4303
Brian Apt,4244
ConocoPhillips Company,4134
Maloney for New York,4119
Roman McAllen Campaign,4101
National Rural Electric Association,4058
OZY Media,4054
Zen Brands International, LLC,4048
Goods Unite Us, Inc.,4011
jeff davis,4000
Save Clayton - A non-profit, non-partisan organization advocating for policies and initiatives to maintain the aesthetics, charm, beauty and community of our unique, quaint and historic little downtown.,4000
Ricky Hurtado for Napa City Council 2018 ,4000
Paula Dianne Scrofano,4000
New Leadership for 2018 and not authorized by any candidate or candidate’s committee,4000
Nadine Scott for Oceanside,4000
Monterey Bay Aquarium,4000
Mojave Desert Blog,4000
Mike Williams For KHSD Trustee Area 1 2018,4000
Michael Regan for Petaluma City Council 2018 - Campaign ID #1406661,4000
Michael Jones,4000
Marin Democratic Party,4000
Liberate Laguna and Liberate Laguna PAC. PAC FPPC # 1405838.,4000
Lewis Adame,4000
Juan Carlos Vizaga For City Council District 3 2018,4000
John Paladin and Attorney Paladin, Los Angeles, California. Supporter of National Popular Vote, Every Vote Equal, End Citizens United, Move To Amend, Term Limits and The Federal Accountability Amendment.,4000
Igor Tregub for Berkeley City Council, FPPC ID: 1405332,4000
Greater Farallones Association,4000
Glendale Unified School District,4000
Fix LUSD - Committee to Elect Alvord, Buffalo, Hanson to the Lakeport Unified School District Governing Board, 2018,4000
Epstein for Orange County Assessor 2018 - FPPC ID#1402737,4000
Dean Provence for Monterey Peninsula Water Management District Div. 1,4000
Dale Coco MD EID Irrigation Board of Directors (ID# 1400444),4000
Committee to Elect Mark A. Murphy for Mayor 2018 ID#1368342,4000
Anjali Kausar for Saratoga City Council 2018 FPPC #1402171,4000
New Avenues Democratic Club,3998
Coronado for Assembly 2018,3995
CalChamber and the Civil Justice Association of California,3938
Hallie Thompson for Congress,3890
Dominick Piegaro for Dublin School board 2018 | FPPC ID #1403228,3878
Job Creators Network (“JCN”),3812
Oxfam America,3810
Modern Patriotism,3806
Steve Brown,3774
The National Foster Youth Institute ,3770
Laxalt for Nevada,3763
Planned Parenthood Action Fund.,3630
DC Statesman,3613
Rebel Rampage,3582
the National Democratic Redistricting Committee,3565
DAGA, democraticags.org, not authorized by any federal, state, or local candidate or candidate’s committee.,3542
The Democratic Coalition,3479
China-US Focus,3473
Finance Watch Dogs,3433
Defenders of Wildlife,3281
the Environmental Working Group,3257
Stand (EIN: 94-3331587),3257
The Sanders Institute,3256
Garcia for Governor. Authorized by Garcia for Governor.,3243
O’Connor for Congress,3218
Hoover Institution,3211
Paid for by Be a Hero PAC,3187
Abdul El-Sayed for Michigan,3184
Paid For By Swalwell For Congress - P.O. Box 2847 Dublin, CA 94568,3168
Zephyr for NY,3164
NRSC,3124
Public Affairs Alliance of Iranian Americans,3123
Happy Hippo LLC,3042
Marggie Castellano for Senate 2018,3039
Mallory Hagan for Congress,3038
Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer,3018
momsagainstpoverty,3000
Yes on L Committee,3000
Vanessa Valenzuela for City Council 2018 FPPC ID 1399356,3000
Trunkey for Saugus School Board 2018 - FPPC 1377450,3000
Timothy alcorn,3000
The committee to elect Chris Werthe,3000
Terry Johnson For City Council 2018,3000
Tai Do for City Council 2018 FPPC 1399430,3000
Stop Crime SF,3000
Stepper For Council FPPC#1247916,3000
Sonoma Land Trust,3000
Shana Charles For School Board 2018,3000
Salem Media,3000
Sackett Insurance Services,3000
Robert Garcia for Jurupa School Board 2018,3000
Robert Davis for HUSD Board 2018,3000
Robert Daulton for Fremont City Council 2018,3000
Re-Elect Marsha Grilli for Milpitas City Council 2018 FPPC #1402973,3000
ProCon, a nonprofit organization,3000
Office of Scott M. Schmerelson,3000
OSORIO FOR DELANO CITY COUNCIL 2018--FPPC ID: 1408732,3000
Nick Burkhart,3000
Michael May,3000
Mars Serna for Fontana School Board 2018,3000
Linda Breen for Carlsbad City Council,3000
Lester Mascon,3000
Kendrick Roberson,3000
Kate Harrison for Berkeley Council FPPC #1392842,3000
Joe Romero Jr. for Woodland City Council 2018,3000
Irene Henry for Ventura City Council,3000
Indivisible OC 45,3000
Henry Stern for Senate,3000
Friends of Thuy DaoJensen for Brentwood School Board 2018,3000
Fontes for SJ Council 2018,3000
Edward Cramer,3000
Devon Mathis For Assembly,3000
Controller Ron Galperin Officeholder Account 2013 249 E Ocean Blvd #685, Long Beach, CA 90802,3000
Committee to Elect Shawna Jeavons for Mendocino County 3rd District Supervisor,3000
Committee to Elect Paul Akinjo 4 Lathrop City Council ,3000
Committee to Elect  Gabriel Reyes - Mayor of Adelanto 2018,3000
Committee for Safe, Quality Schools — Yes on Measure W,3000
Committee for Green Foothills,3000
Carson for Council 2018,3000
Californians for Effective Representation (FEC # C00685503). Not endorsed by any candidate or candidate's committee.,3000
CHRISTIE CROMEENES FOR CITY COUNCIL ,3000
Brady McCarron For Perris City Council 2018 FPPC #1409504,3000
Blakespear for Mayor 2018,3000
Ancona for City Council 2018 - FPPC 1409231,3000
Danny Damian,2999
the National Network of Abortion Funds,2986
McCaskill for Missouri,2975
Tina Smith for Minnesota,2914
We Are The Mighty,2784
Humane Society International,2775
UnitedHealthcare,2758
MoveOn.org Political Action, not authorized by any candidate or candidate's committee.,2749
Delina DiSanto For Congress,2732
Environmental Media Association,2720
Donald J. Trump - online store for Trump/Pence merchandise and campaign collectibles.,2704
The Church of Stop Shopping,2677
#VoteTogether,2666
Beachside Media, Inc.,2656
The Christian Left,2643
UltraViolet PAC, not authorized by any candidate or candidate’s committee,2596
The Western Journal,2543
Cathy for Congress,2542
Americans for Affordable Birth Control,2529
the Committee to Elect Dan Koh,2522
Reform Austin, Inc. ,2513
Earthjustice,2479
Coastal Tees,2451
PATHWATER,2443
C-SPAN,2431
Consumer Alert Services,2416
Tony for Wisconsin. Connie Hutchison, Treasurer.,2397
Red, White and F You,2396
ORMAN FOR KANSAS, INC; TIM OWENS, TREASURER,2371
Andrew Gillum, Democrat, for Governor,2346
Unite America Inc.,2320
The Armenian National Committee of America,2305
Armed American Supply,2304
National Geographic Society,2292
LifeZette Inc.,2272
Aaron Chadbourne,2212
Klean Kanteen,2166
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.,2133
News For Democracy LLC,2125
Yale Environment 360,2108
Human Rights Watch,2106
Jetties Bracelets,2023
the San Dieguito Faculty Association PAC and not authorized by a candidate or a committee controlled by a candidate for this office.,2000
the California National Party, California Statewide Committee, FPPC ID# 1387186,2000
the California Gun Law App,2000
the Aliso Niguel Democratic Club FEC ID C00675058,2000
Zach Courser for Claremont City Council, FPPC ID#1393706,2000
Yes on AESD Measure E Campaign Committee,2000
We Love Costa Mesa,2000
Waymond Fermon for Indio City Council 2018 ID#1408840,2000
Vanessa Delgado for City Council 2015,2000
Urban Street Angels,2000
Todd Gloria for Assembly 2018,2000
The Committee To Elect Gilberto De La Torre,2000
Tehachapi Citizens for Responsible Government,2000
Supervisor Gary Bradford,2000
Stu News,2000
Steve Stenberg for Chula Vista City Council,2000
Staci Smith,2000
Socorro Cisneros for Assembly 2018,2000
Sludge Media, Inc.,2000
Shane Smith for Merced City School District Trustee Area One 2018,2000
Scott Schmidt For Assembly ,2000
Scott Baugh for Congress,2000
San Diego County Young Democrats of California | FPPC ID 1398376,2000
SLO County Sheriff's Office,2000
SHAW PORTER FOR PACIFICA CITY COUNCIL 2018 FPPC ID#  1411378,2000
SEIU Local 721,2000
SEIU Local 1021,2000
Rodriguez for Assembly 2018 FPCC #1392709,2000
Restore the Delta,2000
Reelect Carol Herrera  FPPC ID #1409313,2000
Quality of Life in San Marcos, an Advocacy Group of San Marcos residents,2000
Progressive Zionists of the California Democratic Party ,2000
Pomona Proud,2000
Pippin Dew for Vallejo City Council 2018,2000
Philip Teresi, Fresno CA,2000
Peter Blake for Council 2018 ID# 1406312,2000
People for Kathy Moffat,2000
Paid for by the Democratic Central Committee of Shasta County and not authorized by any candidate or candidate's committee.,2000
Paid for by Natasha Middleton for Oakland City Council 2018. FPPC ID# 1403124,2000
One Tree Planted,2000
Natu Tuatagaloa for Board of Education 2018 FPPC ID#1410736,2000
National Women's Political Caucus South Bay,2000
Nathan Williams,2000
Mike Sharble for Duarte City Council District 7,2000
Mike Maggard for Supervisor,2000
Mickie's Miracles,2000
Melendez For City Council 2018 ID#1404074,2000
Marilyn Ezzy Ashcraft for Alameda Mayor 2018. FPPC ID 1405464.,2000
L. David Patterson, City Treasurer,2000
Kiyomi Kowalski for Las Virgenes School Board 2018,2000
Kimo Gandall,2000
Keri Kropke for Brea School Board 2018 FPPC Pending,2000
Kathy Narum for City Council 2018,2000
Karla Seijas For Merced City Council District 4 2018 - FFPC 1408306,2000
KEN CALVERT FOR CONGRESS ,2000
John Horner for MHUSD Area 2,2000
Joe McLaughlin,2000
Joe Buscaino Council Office ,2000
Jody Moore #1409336,2000
Jenny Fitzgerald for CVUSD School Board 2018,2000
Jennifer Stark for Claremont City Council,2000
Jeff Vasquez Committee to Elect SJC City Council District 4,2000
Jean Josey for Dublin City Council 2018,2000
Jasmyne A. Cannick,2000
Gary Lawson,2000
